County,Median Home Price 2025,Monthly Payment 2025
Ashley County,"$95,390.00",$550.00
Baxter County,"$177,670.00","$1,020.00"
Benton County,"$383,390.00","$2,200.00"
Boone County,"$181,860.00","$1,050.00"
Bradley County,"$104,200.00",$600.00
Calhoun County,"$104,520.00",$600.00
Carroll County,"$200,120.00","$1,150.00"
Chicot County,"$97,220.00",$560.00
Clark County,"$158,020.00",$910.00
Clay County,"$94,640.00",$540.00
Cleburne County,"$187,560.00","$1,080.00"
Cleveland County,"$122,470.00",$700.00
Columbia County,"$152,220.00",$870.00
Conway County,"$147,170.00",$850.00
Craighead County,"$198,580.00","$1,140.00"
Crawford County,"$179,750.00","$1,030.00"
Crittenden County,"$159,740.00",$920.00
Cross County,"$111,720.00",$640.00
Dallas County,"$105,490.00",$610.00
Desha County,"$95,710.00",$550.00
Drew County,"$137,280.00",$790.00
Faulkner County,"$246,400.00","$1,420.00"
Franklin County,"$125,620.00",$720.00
Fulton County,"$115,160.00",$660.00
Garland County,"$233,990.00","$1,340.00"
Grant County,"$159,490.00",$920.00
Greene County,"$174,240.00","$1,000.00"
Hempstead County,"$107,640.00",$620.00
Hot Spring County,"$137,390.00",$790.00
Howard County,"$145,450.00",$840.00
Independence County,"$129,440.00",$740.00
Izard County,"$131,160.00",$750.00
Jackson County,"$93,780.00",$540.00
Jefferson County,"$91,310.00",$520.00
Johnson County,"$134,060.00",$770.00
Lafayette County,"$80,140.00",$460.00
Lawrence County,"$97,860.00",$560.00
Lee County,"$83,680.00",$480.00
Lincoln County,"$105,300.00",$610.00
Little River County,"$121,820.00",$700.00
Logan County,"$136,320.00",$780.00
Lonoke County,"$195,410.00","$1,120.00"
Madison County,"$164,670.00",$950.00
Marion County,"$170,150.00",$980.00
Miller County,"$167,640.00",$960.00
Mississippi County,"$124,390.00",$720.00
Monroe County,"$88,300.00",$510.00
Montgomery County,"$146,090.00",$840.00
Nevada County,"$92,060.00",$530.00
Newton County,"$192,070.00","$1,100.00"
Ouachita County,"$106,990.00",$610.00
Perry County,"$133,470.00",$770.00
Phillips County,"$81,850.00",$470.00
Pike County,"$123,960.00",$710.00
Poinsett County,"$105,940.00",$610.00
Polk County,"$131,700.00",$760.00
Pope County,"$173,700.00","$1,000.00"
Prairie County,"$93,990.00",$540.00
Pulaski County,"$229,680.00","$1,320.00"
Randolph County,"$126,860.00",$730.00
St. Francis County,"$94,210.00",$540.00
Saline County,"$243,100.00","$1,400.00"
Scott County,"$119,130.00",$680.00
Searcy County,"$116,120.00",$670.00
Sebastian County,"$202,490.00","$1,160.00"
Sevier County,"$119,990.00",$690.00
Sharp County,"$101,620.00",$580.00
Stone County,"$160,490.00",$920.00
Union County,"$123,210.00",$710.00
Van Buren County,"$131,380.00",$760.00
Washington County,"$339,880.00","$1,950.00"
White County,"$188,090.00","$1,080.00"
Woodruff County,"$103,980.00",$600.00
Yell County,"$141,040.00",$810.00
Alameda County,"$1,105,150.00","$6,350.00"
Alpine County,"$484,530.00","$2,790.00"
Amador County,"$439,520.00","$2,530.00"
Butte County,"$420,160.00","$2,420.00"
Calaveras County,"$459,270.00","$2,640.00"
Colusa County,"$389,930.00","$2,240.00"
Contra Costa County,"$858,620.00","$4,940.00"
Del Norte County,"$332,240.00","$1,910.00"
El Dorado County,"$713,650.00","$4,100.00"
Fresno County,"$419,380.00","$2,410.00"
Glenn County,"$351,780.00","$2,020.00"
Humboldt County,"$486,510.00","$2,800.00"
Imperial County,"$355,230.00","$2,040.00"
Inyo County,"$351,780.00","$2,020.00"
Kern County,"$355,240.00","$2,040.00"
Kings County,"$370,760.00","$2,130.00"
Lake County,"$350,020.00","$2,010.00"
Lassen County,"$269,760.00","$1,550.00"
Los Angeles County,"$874,980.00","$5,030.00"
Madera County,"$424,120.00","$2,440.00"
Marin County,"$1,565,090.00","$9,000.00"
Mariposa County,"$372,160.00","$2,140.00"
Mendocino County,"$530,580.00","$3,050.00"
Merced County,"$448,700.00","$2,580.00"
Modoc County,"$220,380.00","$1,270.00"
Mono County,"$534,640.00","$3,070.00"
Monterey County,"$824,420.00","$4,740.00"
Napa County,"$869,480.00","$5,000.00"
Nevada County,"$672,790.00","$3,870.00"
Orange County,"$1,015,100.00","$5,830.00"
Placer County,"$695,390.00","$4,000.00"
Plumas County,"$340,350.00","$1,960.00"
Riverside County,"$605,280.00","$3,480.00"
Sacramento County,"$550,920.00","$3,170.00"
San Benito County,"$779,480.00","$4,480.00"
San Bernardino County,"$541,700.00","$3,110.00"
San Diego County,"$916,050.00","$5,270.00"
San Francisco County,"$1,395,150.00","$8,020.00"
San Joaquin County,"$547,070.00","$3,140.00"
San Luis Obispo County,"$803,990.00","$4,620.00"
San Mateo County,"$1,544,810.00","$8,880.00"
Santa Barbara County,"$812,960.00","$4,670.00"
Santa Clara County,"$1,476,980.00","$8,490.00"
Santa Cruz County,"$1,036,420.00","$5,960.00"
Shasta County,"$369,810.00","$2,130.00"
Sierra County,"$347,310.00","$2,000.00"
Siskiyou County,"$295,750.00","$1,700.00"
Solano County,"$608,090.00","$3,500.00"
Sonoma County,"$812,130.00","$4,670.00"
Stanislaus County,"$477,780.00","$2,750.00"
Sutter County,"$410,790.00","$2,360.00"
Tehama County,"$335,570.00","$1,930.00"
Trinity County,"$342,010.00","$1,970.00"
Tulare County,"$357,730.00","$2,060.00"
Tuolumne County,"$422,260.00","$2,430.00"
Ventura County,"$845,370.00","$4,860.00"
Yolo County,"$629,450.00","$3,620.00"
Yuba County,"$396,890.00","$2,280.00"
Adams County,"$510,810.00","$2,940.00"
Alamosa County,"$229,220.00","$1,320.00"
Arapahoe County,"$586,010.00","$3,370.00"
Archuleta County,"$472,910.00","$2,720.00"
Baca County,"$127,810.00",$730.00
Bent County,"$144,470.00",$830.00
Boulder County,"$782,600.00","$4,500.00"
Broomfield County,"$682,590.00","$3,920.00"
Chaffee County,"$627,010.00","$3,600.00"
Cheyenne County,"$196,010.00","$1,130.00"
Clear Creek County,"$591,690.00","$3,400.00"
Conejos County,"$169,820.00",$980.00
Costilla County,"$179,460.00","$1,030.00"
Crowley County,"$111,780.00",$640.00
Custer County,"$375,890.00","$2,160.00"
Delta County,"$333,150.00","$1,910.00"
Denver County,"$647,160.00","$3,720.00"
Dolores County,"$242,950.00","$1,400.00"
Douglas County,"$749,430.00","$4,310.00"
Eagle County,"$853,510.00","$4,910.00"
Elbert County,"$686,520.00","$3,950.00"
El Paso County,"$486,130.00","$2,790.00"
Fremont County,"$295,540.00","$1,700.00"
Garfield County,"$513,970.00","$2,950.00"
Gilpin County,"$529,500.00","$3,040.00"
Grand County,"$531,360.00","$3,050.00"
Gunnison County,"$625,650.00","$3,600.00"
Hinsdale County,"$459,710.00","$2,640.00"
Huerfano County,"$268,930.00","$1,550.00"
Jackson County,"$261,910.00","$1,510.00"
Jefferson County,"$667,200.00","$3,840.00"
Kiowa County,"$155,680.00",$890.00
Kit Carson County,"$231,950.00","$1,330.00"
Lake County,"$420,420.00","$2,420.00"
La Plata County,"$575,260.00","$3,310.00"
Larimer County,"$589,370.00","$3,390.00"
Las Animas County,"$224,720.00","$1,290.00"
Lincoln County,"$243,160.00","$1,400.00"
Logan County,"$238,970.00","$1,370.00"
Mesa County,"$398,160.00","$2,290.00"
Mineral County,"$432,680.00","$2,490.00"
Moffat County,"$275,010.00","$1,580.00"
Montezuma County,"$322,780.00","$1,860.00"
Montrose County,"$374,950.00","$2,160.00"
Morgan County,"$313,560.00","$1,800.00"
Otero County,"$168,360.00",$970.00
Ouray County,"$702,020.00","$4,040.00"
Park County,"$505,440.00","$2,910.00"
Phillips County,"$267,460.00","$1,540.00"
Pitkin County,"$1,185,090.00","$6,810.00"
Prowers County,"$158,090.00",$910.00
Pueblo County,"$326,210.00","$1,880.00"
Rio Blanco County,"$255,000.00","$1,470.00"
Rio Grande County,"$225,660.00","$1,300.00"
Routt County,"$792,230.00","$4,550.00"
Saguache County,"$209,530.00","$1,200.00"
San Juan County,"$426,290.00","$2,450.00"
San Miguel County,"$642,310.00","$3,690.00"
Sedgwick County,"$149,500.00",$860.00
Summit County,"$891,230.00","$5,120.00"
Teller County,"$459,400.00","$2,640.00"
Washington County,"$228,700.00","$1,310.00"
Weld County,"$492,700.00","$2,830.00"
Yuma County,"$225,870.00","$1,300.00"
Kent County,"$335,540.00","$1,930.00"
New Castle County,"$377,560.00","$2,170.00"
District of Columbia,"$756,940.00","$4,350.00"
Alachua County,"$324,040.00","$1,860.00"
Baker County,"$234,440.00","$1,350.00"
Bay County,"$344,960.00","$1,980.00"
Bradford County,"$184,520.00","$1,060.00"
Brevard County,"$363,860.00","$2,090.00"
Broward County,"$477,250.00","$2,740.00"
Calhoun County,"$137,140.00",$790.00
Charlotte County,"$347,820.00","$2,000.00"
Citrus County,"$285,330.00","$1,640.00"
Clay County,"$352,180.00","$2,020.00"
Collier County,"$617,470.00","$3,550.00"
Columbia County,"$235,690.00","$1,350.00"
DeSoto County,"$155,050.00",$890.00
Dixie County,"$99,170.00",$570.00
Duval County,"$334,880.00","$1,920.00"
Escambia County,"$301,750.00","$1,730.00"
Franklin County,"$260,260.00","$1,500.00"
Gadsden County,"$157,590.00",$910.00
Gilchrist County,"$201,600.00","$1,160.00"
Glades County,"$117,490.00",$680.00
Gulf County,"$241,220.00","$1,390.00"
Hamilton County,"$112,990.00",$650.00
Hardee County,"$132,430.00",$760.00
Hendry County,"$194,140.00","$1,120.00"
Hernando County,"$310,820.00","$1,790.00"
Highlands County,"$213,790.00","$1,230.00"
Hillsborough County,"$403,630.00","$2,320.00"
Holmes County,"$103,770.00",$600.00
Indian River County,"$367,390.00","$2,110.00"
Jackson County,"$116,570.00",$670.00
Jefferson County,"$202,520.00","$1,160.00"
Lafayette County,"$134,680.00",$770.00
Lake County,"$344,410.00","$1,980.00"
Lee County,"$382,140.00","$2,200.00"
Leon County,"$317,630.00","$1,830.00"
Levy County,"$175,410.00","$1,010.00"
Liberty County,"$120,350.00",$690.00
Madison County,"$108,380.00",$620.00
Manatee County,"$421,750.00","$2,420.00"
Marion County,"$275,470.00","$1,580.00"
Martin County,"$454,150.00","$2,610.00"
Dade County,"$531,050.00","$3,050.00"
Monroe County,"$824,980.00","$4,740.00"
Nassau County,"$428,760.00","$2,460.00"
Okaloosa County,"$378,200.00","$2,170.00"
Okeechobee County,"$183,190.00","$1,050.00"
Orange County,"$434,340.00","$2,500.00"
Osceola County,"$399,650.00","$2,300.00"
Palm Beach County,"$534,210.00","$3,070.00"
Pasco County,"$344,030.00","$1,980.00"
Pinellas County,"$389,570.00","$2,240.00"
Polk County,"$300,990.00","$1,730.00"
Putnam County,"$163,950.00",$940.00
St. Johns County,"$557,020.00","$3,200.00"
St. Lucie County,"$384,390.00","$2,210.00"
Santa Rosa County,"$359,680.00","$2,070.00"
Sarasota County,"$447,910.00","$2,570.00"
Seminole County,"$432,620.00","$2,490.00"
Sumter County,"$420,630.00","$2,420.00"
Suwannee County,"$164,670.00",$950.00
Taylor County,"$102,550.00",$590.00
Union County,"$164,160.00",$940.00
Volusia County,"$352,560.00","$2,030.00"
Wakulla County,"$220,350.00","$1,270.00"
Walton County,"$448,260.00","$2,580.00"
Washington County,"$159,650.00",$920.00
Appling County,"$86,400.00",$500.00
Atkinson County,"$80,990.00",$470.00
Bacon County,"$110,500.00",$640.00
Baker County,"$127,350.00",$730.00
Baldwin County,"$174,820.00","$1,000.00"
Banks County,"$267,170.00","$1,540.00"
Barrow County,"$313,400.00","$1,800.00"
Bartow County,"$322,360.00","$1,850.00"
Ben Hill County,"$121,640.00",$700.00
Berrien County,"$122,280.00",$700.00
Bibb County,"$209,390.00","$1,200.00"
Bleckley County,"$141,070.00",$810.00
Brantley County,"$99,820.00",$570.00
Brooks County,"$133,000.00",$760.00
Bryan County,"$324,020.00","$1,860.00"
Bulloch County,"$254,960.00","$1,470.00"
Burke County,"$113,030.00",$650.00
Butts County,"$237,340.00","$1,360.00"
Calhoun County,"$87,250.00",$500.00
Camden County,"$248,270.00","$1,430.00"
Candler County,"$143,930.00",$830.00
Carroll County,"$292,560.00","$1,680.00"
Catoosa County,"$242,010.00","$1,390.00"
Charlton County,"$126,310.00",$730.00
Chatham County,"$327,800.00","$1,880.00"
Chattahoochee County,"$109,480.00",$630.00
Chattooga County,"$104,760.00",$600.00
Cherokee County,"$469,680.00","$2,700.00"
Clarke County,"$334,070.00","$1,920.00"
Clay County,"$98,180.00",$560.00
Clayton County,"$256,200.00","$1,470.00"
Clinch County,"$91,600.00",$530.00
Cobb County,"$450,100.00","$2,590.00"
Coffee County,"$133,420.00",$770.00
Colquitt County,"$128,860.00",$740.00
Columbia County,"$343,610.00","$1,980.00"
Cook County,"$130,560.00",$750.00
Coweta County,"$399,040.00","$2,290.00"
Crawford County,"$151,750.00",$870.00
Crisp County,"$128,220.00",$740.00
Dade County,"$173,790.00","$1,000.00"
Dawson County,"$366,640.00","$2,110.00"
Decatur County,"$155,180.00",$890.00
DeKalb County,"$383,620.00","$2,210.00"
Dodge County,"$115,380.00",$660.00
Dooly County,"$102,320.00",$590.00
Dougherty County,"$153,220.00",$880.00
Douglas County,"$342,160.00","$1,970.00"
Early County,"$138,090.00",$790.00
Echols County,"$126,800.00",$730.00
Effingham County,"$288,970.00","$1,660.00"
Elbert County,"$121,640.00",$700.00
Emanuel County,"$93,620.00",$540.00
Evans County,"$148,280.00",$850.00
Fannin County,"$291,470.00","$1,680.00"
Fayette County,"$482,290.00","$2,770.00"
Floyd County,"$251,930.00","$1,450.00"
Forsyth County,"$611,900.00","$3,520.00"
Franklin County,"$170,470.00",$980.00
Fulton County,"$497,500.00","$2,860.00"
Gilmer County,"$296,040.00","$1,700.00"
Glascock County,"$130,350.00",$750.00
Glynn County,"$366,650.00","$2,110.00"
Gordon County,"$218,230.00","$1,250.00"
Grady County,"$144,890.00",$830.00
Greene County,"$363,230.00","$2,090.00"
Gwinnett County,"$412,070.00","$2,370.00"
Habersham County,"$225,030.00","$1,290.00"
Hall County,"$391,790.00","$2,250.00"
Hancock County,"$92,770.00",$530.00
Haralson County,"$219,210.00","$1,260.00"
Harris County,"$305,720.00","$1,760.00"
Hart County,"$219,190.00","$1,260.00"
Heard County,"$167,740.00",$960.00
Henry County,"$348,620.00","$2,000.00"
Houston County,"$229,890.00","$1,320.00"
Irwin County,"$111,770.00",$640.00
Jackson County,"$385,520.00","$2,220.00"
Jasper County,"$228,900.00","$1,320.00"
Jeff Davis County,"$116,020.00",$670.00
Jefferson County,"$98,820.00",$570.00
Jenkins County,"$86,080.00",$490.00
Johnson County,"$96,800.00",$560.00
Jones County,"$182,980.00","$1,050.00"
Lamar County,"$209,840.00","$1,210.00"
Lanier County,"$181,420.00","$1,040.00"
Laurens County,"$145,840.00",$840.00
Lee County,"$240,590.00","$1,380.00"
Liberty County,"$241,250.00","$1,390.00"
Lincoln County,"$173,650.00","$1,000.00"
Long County,"$209,580.00","$1,200.00"
Lowndes County,"$249,780.00","$1,440.00"
Lumpkin County,"$294,230.00","$1,690.00"
McDuffie County,"$162,630.00",$930.00
McIntosh County,"$189,090.00","$1,090.00"
Macon County,"$92,350.00",$530.00
Madison County,"$208,390.00","$1,200.00"
Marion County,"$133,940.00",$770.00
Meriwether County,"$161,080.00",$930.00
Miller County,"$125,570.00",$720.00
Mitchell County,"$111,980.00",$640.00
Monroe County,"$254,870.00","$1,460.00"
Montgomery County,"$125,460.00",$720.00
Morgan County,"$342,950.00","$1,970.00"
Murray County,"$188,300.00","$1,080.00"
Muscogee County,"$217,420.00","$1,250.00"
Newton County,"$308,190.00","$1,770.00"
Oconee County,"$445,600.00","$2,560.00"
Oglethorpe County,"$208,280.00","$1,200.00"
Paulding County,"$368,830.00","$2,120.00"
Peach County,"$197,540.00","$1,140.00"
Pickens County,"$301,730.00","$1,730.00"
Pierce County,"$140,220.00",$810.00
Pike County,"$276,830.00","$1,590.00"
Polk County,"$173,550.00","$1,000.00"
Pulaski County,"$153,170.00",$880.00
Putnam County,"$235,640.00","$1,350.00"
Quitman County,"$109,330.00",$630.00
Rabun County,"$289,350.00","$1,660.00"
Randolph County,"$96,490.00",$550.00
Richmond County,"$206,670.00","$1,190.00"
Rockdale County,"$341,950.00","$1,970.00"
Schley County,"$162,300.00",$930.00
Screven County,"$129,810.00",$750.00
Seminole County,"$118,460.00",$680.00
Spalding County,"$250,470.00","$1,440.00"
Stephens County,"$178,540.00","$1,030.00"
Stewart County,"$56,260.00",$320.00
Sumter County,"$129,810.00",$750.00
Talbot County,"$135,020.00",$780.00
Taliaferro County,"$77,590.00",$450.00
Tattnall County,"$129,920.00",$750.00
Taylor County,"$87,990.00",$510.00
Telfair County,"$114,850.00",$660.00
Terrell County,"$118,230.00",$680.00
Thomas County,"$196,690.00","$1,130.00"
Tift County,"$151,890.00",$870.00
Toombs County,"$134,910.00",$780.00
Towns County,"$331,070.00","$1,900.00"
Treutlen County,"$104,450.00",$600.00
Troup County,"$255,810.00","$1,470.00"
Turner County,"$101,050.00",$580.00
Twiggs County,"$109,520.00",$630.00
Union County,"$289,350.00","$1,660.00"
Upson County,"$158,690.00",$910.00
Walker County,"$229,280.00","$1,320.00"
Walton County,"$372,160.00","$2,140.00"
Ware County,"$113,040.00",$650.00
Warren County,"$82,790.00",$480.00
Washington County,"$122,700.00",$710.00
Wayne County,"$159,000.00",$910.00
Webster County,"$97,870.00",$560.00
Wheeler County,"$79,180.00",$460.00
White County,"$278,310.00","$1,600.00"
Whitfield County,"$264,470.00","$1,520.00"
Wilcox County,"$75,580.00",$430.00
Wilkes County,"$111,450.00",$640.00
Wilkinson County,"$96,380.00",$550.00
Worth County,"$119,180.00",$690.00
Hawaii County,"$519,630.00","$2,990.00"
Honolulu County,"$933,920.00","$5,370.00"
Kauai County,"$873,090.00","$5,020.00"
Maui County,"$918,300.00","$5,280.00"
Ada County,"$549,650.00","$3,160.00"
Adams County,"$346,540.00","$1,990.00"
Bannock County,"$348,590.00","$2,000.00"
Bear Lake County,"$247,970.00","$1,430.00"
Benewah County,"$270,840.00","$1,560.00"
Bingham County,"$273,160.00","$1,570.00"
Blaine County,"$702,820.00","$4,040.00"
Boise County,"$443,510.00","$2,550.00"
Bonner County,"$458,870.00","$2,640.00"
Bonneville County,"$415,360.00","$2,390.00"
Boundary County,"$364,330.00","$2,090.00"
Butte County,"$207,310.00","$1,190.00"
Camas County,"$263,530.00","$1,510.00"
Canyon County,"$395,930.00","$2,280.00"
Caribou County,"$233,140.00","$1,340.00"
Cassia County,"$272,420.00","$1,570.00"
Clark County,"$214,930.00","$1,240.00"
Clearwater County,"$254,950.00","$1,470.00"
Custer County,"$312,970.00","$1,800.00"
Elmore County,"$294,660.00","$1,690.00"
Franklin County,"$326,190.00","$1,870.00"
Fremont County,"$298,360.00","$1,710.00"
Gem County,"$384,110.00","$2,210.00"
Gooding County,"$245,420.00","$1,410.00"
Idaho County,"$301,330.00","$1,730.00"
Jefferson County,"$371,260.00","$2,130.00"
Jerome County,"$268,930.00","$1,550.00"
Kootenai County,"$585,560.00","$3,370.00"
Latah County,"$362,630.00","$2,080.00"
Lemhi County,"$298,680.00","$1,720.00"
Lewis County,"$214,300.00","$1,230.00"
Lincoln County,"$218,850.00","$1,260.00"
Madison County,"$386,450.00","$2,220.00"
Minidoka County,"$249,130.00","$1,430.00"
Nez Perce County,"$321,780.00","$1,850.00"
Oneida County,"$241,510.00","$1,390.00"
Owyhee County,"$294,490.00","$1,690.00"
Payette County,"$328,960.00","$1,890.00"
Power County,"$195,000.00","$1,120.00"
Shoshone County,"$235,790.00","$1,360.00"
Teton County,"$630,930.00","$3,630.00"
Twin Falls County,"$348,340.00","$2,000.00"
Valley County,"$634,740.00","$3,650.00"
Washington County,"$265,010.00","$1,520.00"
Adams County,"$166,120.00",$950.00
Alexander County,"$62,550.00",$360.00
Bond County,"$141,250.00",$810.00
Boone County,"$218,350.00","$1,260.00"
Brown County,"$151,520.00",$870.00
Bureau County,"$129,890.00",$750.00
Calhoun County,"$184,650.00","$1,060.00"
Carroll County,"$120,940.00",$700.00
Cass County,"$101,760.00",$580.00
Champaign County,"$232,930.00","$1,340.00"
Christian County,"$119,450.00",$690.00
Clark County,"$131,170.00",$750.00
Clay County,"$100,480.00",$580.00
Clinton County,"$191,550.00","$1,100.00"
Coles County,"$129,890.00",$750.00
Cook County,"$334,950.00","$1,930.00"
Crawford County,"$121,150.00",$700.00
Cumberland County,"$125,420.00",$720.00
DeKalb County,"$260,530.00","$1,500.00"
De Witt County,"$132,340.00",$760.00
Douglas County,"$151,950.00",$870.00
DuPage County,"$409,050.00","$2,350.00"
Edgar County,"$101,970.00",$590.00
Edwards County,"$103,890.00",$600.00
Effingham County,"$191,590.00","$1,100.00"
Fayette County,"$122,220.00",$700.00
Ford County,"$127,300.00",$730.00
Franklin County,"$93,450.00",$540.00
Fulton County,"$109,220.00",$630.00
Gallatin County,"$90,250.00",$520.00
Greene County,"$100,590.00",$580.00
Grundy County,"$276,760.00","$1,590.00"
Hamilton County,"$115,930.00",$670.00
Hancock County,"$115,510.00",$660.00
Hardin County,"$97,710.00",$560.00
Henderson County,"$108,260.00",$620.00
Henry County,"$152,370.00",$880.00
Iroquois County,"$133,620.00",$770.00
Jackson County,"$133,190.00",$770.00
Jasper County,"$130,960.00",$750.00
Jefferson County,"$126,160.00",$730.00
Jersey County,"$179,140.00","$1,030.00"
Jo Daviess County,"$206,610.00","$1,190.00"
Johnson County,"$157,920.00",$910.00
Kane County,"$345,940.00","$1,990.00"
Kankakee County,"$192,520.00","$1,110.00"
Kendall County,"$348,830.00","$2,010.00"
Knox County,"$111,780.00",$640.00
Lake County,"$363,450.00","$2,090.00"
LaSalle County,"$164,420.00",$950.00
Lawrence County,"$101,760.00",$580.00
Lee County,"$165,270.00",$950.00
Livingston County,"$140,120.00",$810.00
Logan County,"$134,150.00",$770.00
McDonough County,"$110,290.00",$630.00
McHenry County,"$329,180.00","$1,890.00"
McLean County,"$227,410.00","$1,310.00"
Macon County,"$122,200.00",$700.00
Macoupin County,"$133,820.00",$770.00
Madison County,"$183,910.00","$1,060.00"
Marion County,"$106,660.00",$610.00
Marshall County,"$143,810.00",$830.00
Mason County,"$113,060.00",$650.00
Massac County,"$125,740.00",$720.00
Menard County,"$189,160.00","$1,090.00"
Mercer County,"$146,080.00",$840.00
Monroe County,"$281,860.00","$1,620.00"
Montgomery County,"$108,900.00",$630.00
Morgan County,"$137,140.00",$790.00
Moultrie County,"$129,470.00",$740.00
Ogle County,"$196,170.00","$1,130.00"
Peoria County,"$159,670.00",$920.00
Perry County,"$112,100.00",$640.00
Piatt County,"$186,690.00","$1,070.00"
Pike County,"$106,660.00",$610.00
Pope County,"$176,140.00","$1,010.00"
Pulaski County,"$86,310.00",$500.00
Putnam County,"$178,800.00","$1,030.00"
Randolph County,"$142,890.00",$820.00
Richland County,"$113,590.00",$650.00
Rock Island County,"$151,110.00",$870.00
St. Clair County,"$196,750.00","$1,130.00"
Saline County,"$98,990.00",$570.00
Sangamon County,"$191,690.00","$1,100.00"
Schuyler County,"$113,160.00",$650.00
Scott County,"$108,370.00",$620.00
Shelby County,"$138,950.00",$800.00
Stark County,"$108,010.00",$620.00
Stephenson County,"$135,860.00",$780.00
Tazewell County,"$169,070.00",$970.00
Union County,"$140,330.00",$810.00
Vermilion County,"$114,950.00",$660.00
Wabash County,"$110,710.00",$640.00
Warren County,"$107,940.00",$620.00
Washington County,"$159,620.00",$920.00
