location_name,location_type,state,month,vacancy_rate
"Arlington County, VA",County,Virginia,2025-02-01,0.0464007845494251
"Arlington County, VA",County,Virginia,2025-03-01,0.0475277715362093
"Arlington, TX",City,Texas,2025-01-01,0.079757841846209
"Arlington, TX",City,Texas,2025-02-01,0.0838330271018746
"Arlington, TX",City,Texas,2025-03-01,0.0866390514452731
"Arlington, VA",City,Virginia,2025-01-01,0.0470521026607837
"Arlington, VA",City,Virginia,2025-02-01,0.0464007845494251
"Arlington, VA",City,Virginia,2025-03-01,0.0475277715362093
"Asheville, NC",Metro,North Carolina,2025-01-01,0.0841799155074975
"Asheville, NC",Metro,North Carolina,2025-02-01,0.0876069294560538
"Asheville, NC",Metro,North Carolina,2025-03-01,0.0875559417343442
"Atlanta, GA",City,Georgia,2025-01-01,0.0778326262515047
"Atlanta, GA",City,Georgia,2025-02-01,0.0782506763376961
"Atlanta, GA",City,Georgia,2025-03-01,0.0795595172552912
"Atlanta-Sandy Springs-Alpharetta, GA",Metro,Georgia,2025-01-01,0.0755134072299411
"Atlanta-Sandy Springs-Alpharetta, GA",Metro,Georgia,2025-02-01,0.0755662985794686
"Atlanta-Sandy Springs-Alpharetta, GA",Metro,Georgia,2025-03-01,0.076015534843492
"Augusta, GA",City,Georgia,2025-01-01,0.0810745989268625
"Augusta, GA",City,Georgia,2025-02-01,0.0780588994895831
"Augusta, GA",City,Georgia,2025-03-01,0.0730054151080402
"Augusta-Richmond County, GA-SC",Metro,Georgia,2025-01-01,0.0736415604540377
"Augusta-Richmond County, GA-SC",Metro,Georgia,2025-02-01,0.0713575650313884
"Augusta-Richmond County, GA-SC",Metro,Georgia,2025-03-01,0.0678651683152812
"Aurora, CO",City,Colorado,2025-01-01,0.0913179355646781
"Aurora, CO",City,Colorado,2025-02-01,0.0931680273730995
"Aurora, CO",City,Colorado,2025-03-01,0.0964493759445536
"Austin, TX",City,Texas,2025-01-01,0.0953084895143399
"Austin, TX",City,Texas,2025-02-01,0.095565433334803
"Austin, TX",City,Texas,2025-03-01,0.0959866643096919
"Austin-Round Rock-Georgetown, TX",Metro,Texas,2025-01-01,0.0980654126494749
"Austin-Round Rock-Georgetown, TX",Metro,Texas,2025-02-01,0.0984545812450958
"Austin-Round Rock-Georgetown, TX",Metro,Texas,2025-03-01,0.0992156130569738
"Baltimore County, MD",County,Maryland,2025-01-01,0.0401158929950523
"Baltimore County, MD",County,Maryland,2025-02-01,0.041802074272175
"Baltimore County, MD",County,Maryland,2025-03-01,0.0429075515260909
"Baltimore, MD",City,Maryland,2025-01-01,0.0561796369989445
"Baltimore, MD",City,Maryland,2025-02-01,0.0580761874311138
"Baltimore, MD",City,Maryland,2025-03-01,0.060337736346613
"Baltimore-Columbia-Towson, MD",Metro,Maryland,2025-01-01,0.0515532989216759
"Baltimore-Columbia-Towson, MD",Metro,Maryland,2025-02-01,0.0525827581229697
"Baltimore-Columbia-Towson, MD",Metro,Maryland,2025-03-01,0.0535362090724259
"Baton Rouge, LA",Metro,Louisiana,2025-01-01,0.0706506228419432
"Baton Rouge, LA",City,Louisiana,2025-01-01,0.0707371366706383
"Baton Rouge, LA",Metro,Louisiana,2025-02-01,0.0717774051166632
"Baton Rouge, LA",City,Louisiana,2025-02-01,0.0714497998572454
"Baton Rouge, LA",Metro,Louisiana,2025-03-01,0.0725822065650215
"Baton Rouge, LA",City,Louisiana,2025-03-01,0.0719743302429533
"Beaverton, OR",City,Oregon,2025-01-01,0.0645791107123631
"Beaverton, OR",City,Oregon,2025-02-01,0.0637732836214968
"Beaverton, OR",City,Oregon,2025-03-01,0.0630392970222428
"Bell County, TX",County,Texas,2025-01-01,0.0757915883792109
"Bell County, TX",County,Texas,2025-02-01,0.0751941131957102
"Bell County, TX",County,Texas,2025-03-01,0.0756003253517608
"Bellevue, WA",City,Washington,2025-01-01,0.0527054921460505
"Bellevue, WA",City,Washington,2025-02-01,0.0511523793298396
"Bellevue, WA",City,Washington,2025-03-01,0.0505522971422577
"Bergen County, NJ",County,New Jersey,2025-01-01,0.0459944567602285
"Bergen County, NJ",County,New Jersey,2025-02-01,0.0467037581043192
"Bergen County, NJ",County,New Jersey,2025-03-01,0.0487073073560613
"Berkeley County, SC",County,South Carolina,2025-01-01,0.0797699069145641
"Berkeley County, SC",County,South Carolina,2025-02-01,0.0804368682411389
"Berkeley County, SC",County,South Carolina,2025-03-01,0.0812285512763945
"Bernalillo County, NM",County,New Mexico,2025-01-01,0.0599705777349047
"Bernalillo County, NM",County,New Mexico,2025-02-01,0.0634608494620564
"Bernalillo County, NM",County,New Mexico,2025-03-01,0.0665611376805446
"Bexar County, TX",County,Texas,2025-01-01,0.0880432892635947
"Bexar County, TX",County,Texas,2025-02-01,0.0893728179079019
"Bexar County, TX",County,Texas,2025-03-01,0.0898915976225803
"Birmingham, AL",City,Alabama,2025-01-01,0.0895601721320057
"Birmingham, AL",City,Alabama,2025-02-01,0.0890942488743485
"Birmingham, AL",City,Alabama,2025-03-01,0.0888525859557721
"Birmingham-Hoover, AL",Metro,Alabama,2025-01-01,0.104082454837634
"Birmingham-Hoover, AL",Metro,Alabama,2025-02-01,0.105172946643414
"Birmingham-Hoover, AL",Metro,Alabama,2025-03-01,0.105474936853715
"Bloomington, MN",City,Minnesota,2025-01-01,0.0609611592528682
"Bloomington, MN",City,Minnesota,2025-02-01,0.0600052336563571
"Bloomington, MN",City,Minnesota,2025-03-01,0.0600201455052903
"Boca Raton, FL",City,Florida,2025-01-01,0.0593366622863724
"Boca Raton, FL",City,Florida,2025-02-01,0.0594953630925971
"Boca Raton, FL",City,Florida,2025-03-01,0.0619103549567898
"Boise City, ID",Metro,Idaho,2025-01-01,0.0681825208472322
"Boise City, ID",Metro,Idaho,2025-02-01,0.068813627960173
"Boise City, ID",Metro,Idaho,2025-03-01,0.0718194464559929
"Boise, ID",City,Idaho,2025-01-01,0.0657845090436087
"Boise, ID",City,Idaho,2025-02-01,0.0661159412775765
"Boise, ID",City,Idaho,2025-03-01,0.0703378911908832
"Boston, MA",City,Massachusetts,2025-01-01,0.0600793579426934
"Boston, MA",City,Massachusetts,2025-02-01,0.0596453195413857
"Boston, MA",City,Massachusetts,2025-03-01,0.0596902900017395
"Boston-Cambridge-Newton, MA-NH",Metro,Massachusetts,2025-01-01,0.0525801110288937
"Boston-Cambridge-Newton, MA-NH",Metro,Massachusetts,2025-02-01,0.0522498318206868
"Boston-Cambridge-Newton, MA-NH",Metro,Massachusetts,2025-03-01,0.052189911659987
"Boulder County, CO",County,Colorado,2025-01-01,0.082316334544496
"Boulder County, CO",County,Colorado,2025-02-01,0.0834192273919433
"Boulder County, CO",County,Colorado,2025-03-01,0.0843239010086388
"Boulder, CO",Metro,Colorado,2025-01-01,0.082316334544496
"Boulder, CO",Metro,Colorado,2025-02-01,0.0834192273919433
"Boulder, CO",Metro,Colorado,2025-03-01,0.0843239010086388
"Brazoria County, TX",County,Texas,2025-01-01,0.0911891738464388
"Brazoria County, TX",County,Texas,2025-02-01,0.0925694685421037
"Brazoria County, TX",County,Texas,2025-03-01,0.0927266725439949
"Brevard County, FL",County,Florida,2025-01-01,0.0830264982919578
"Brevard County, FL",County,Florida,2025-02-01,0.0891682752066686
"Brevard County, FL",County,Florida,2025-03-01,0.0950430911646769
"Bridgeport-Stamford-Norwalk, CT",Metro,Connecticut,2025-01-01,0.0500572435650508
"Bridgeport-Stamford-Norwalk, CT",Metro,Connecticut,2025-02-01,0.0512343306872042
"Bridgeport-Stamford-Norwalk, CT",Metro,Connecticut,2025-03-01,0.052369136363586
"Broward County, FL",County,Florida,2025-01-01,0.0566081426898324
"Broward County, FL",County,Florida,2025-02-01,0.0565905037940705
"Broward County, FL",County,Florida,2025-03-01,0.0571174490559904
"Bucks County, PA",County,Pennsylvania,2025-01-01,0.0401471712507131
"Bucks County, PA",County,Pennsylvania,2025-02-01,0.0472697499847998
"Bucks County, PA",County,Pennsylvania,2025-03-01,0.0568432973534921
"Buncombe County, NC",County,North Carolina,2025-01-01,0.0805127337068444
"Buncombe County, NC",County,North Carolina,2025-02-01,0.0839549152173403
"Buncombe County, NC",County,North Carolina,2025-03-01,0.0847309735131987
California,State,California,2025-01-01,0.050800365703345
California,State,California,2025-02-01,0.0499995911669277
California,State,California,2025-03-01,0.0495127342506635
"Cambridge, MA",City,Massachusetts,2025-01-01,0.0572947387705216
"Cambridge, MA",City,Massachusetts,2025-02-01,0.0562001649621504
"Cambridge, MA",City,Massachusetts,2025-03-01,0.0551013241509484
"Cape Coral-Fort Myers, FL",Metro,Florida,2025-01-01,0.0949359112598388
"Cape Coral-Fort Myers, FL",Metro,Florida,2025-02-01,0.0913349505868969
"Cape Coral-Fort Myers, FL",Metro,Florida,2025-03-01,0.0907599937265438
"Carrollton, TX",City,Texas,2025-01-01,0.0882705294197821
"Carrollton, TX",City,Texas,2025-02-01,0.0888475536151856
"Carrollton, TX",City,Texas,2025-03-01,0.0905002149518244
"Cary, NC",City,North Carolina,2025-01-01,0.0910968901930549
"Cary, NC",City,North Carolina,2025-02-01,0.0936807839256062
"Cary, NC",City,North Carolina,2025-03-01,0.0970697731604955
"Cass County, ND",County,North Dakota,2025-01-01,0.0819443529172056
"Cass County, ND",County,North Dakota,2025-02-01,0.078371347114043
"Cass County, ND",County,North Dakota,2025-03-01,0.0766272809283438
"Chandler, AZ",City,Arizona,2025-01-01,0.07706753301848
"Chandler, AZ",City,Arizona,2025-02-01,0.0771088434123872
"Chandler, AZ",City,Arizona,2025-03-01,0.0770150330992887
"Charleston County, SC",County,South Carolina,2025-01-01,0.0856563986892145
"Charleston County, SC",County,South Carolina,2025-02-01,0.0860618186624225
"Charleston County, SC",County,South Carolina,2025-03-01,0.0850576230630241
"Charleston, SC",City,South Carolina,2025-01-01,0.0815354054783416
"Charleston, SC",City,South Carolina,2025-02-01,0.0808773371429886
"Charleston, SC",City,South Carolina,2025-03-01,0.0806449016785801
"Charleston-North Charleston, SC",Metro,South Carolina,2025-01-01,0.0815883982030109
"Charleston-North Charleston, SC",Metro,South Carolina,2025-02-01,0.0820591574929496
"Charleston-North Charleston, SC",Metro,South Carolina,2025-03-01,0.081845329715661
"Charlotte, NC",City,North Carolina,2025-01-01,0.0843384492846235
"Charlotte, NC",City,North Carolina,2025-02-01,0.08504081701677
"Charlotte, NC",City,North Carolina,2025-03-01,0.0858850596837034
"Charlotte-Concord-Gastonia, NC-SC",Metro,North Carolina,2025-01-01,0.0826573201985556
"Charlotte-Concord-Gastonia, NC-SC",Metro,North Carolina,2025-02-01,0.0836764183072387
"Charlotte-Concord-Gastonia, NC-SC",Metro,North Carolina,2025-03-01,0.0840145391713671
"Chatham County, GA",County,Georgia,2025-01-01,0.0859916729167228
"Chatham County, GA",County,Georgia,2025-02-01,0.0828862072902029
"Chatham County, GA",County,Georgia,2025-03-01,0.0816435230437172
"Chattanooga, TN",City,Tennessee,2025-01-01,0.0666837684304437
"Chattanooga, TN",City,Tennessee,2025-02-01,0.0686337996415492
"Chattanooga, TN",City,Tennessee,2025-03-01,0.0711699347724476
"Chattanooga, TN-GA",Metro,Tennessee,2025-01-01,0.0643482884680407
"Chattanooga, TN-GA",Metro,Tennessee,2025-02-01,0.0664642774128954
"Chattanooga, TN-GA",Metro,Tennessee,2025-03-01,0.0691596338122058
"Chester County, PA",County,Pennsylvania,2025-01-01,0.0584174918875657
"Chester County, PA",County,Pennsylvania,2025-02-01,0.0577708195332277
"Chester County, PA",County,Pennsylvania,2025-03-01,0.0567274199126132
"Chesterfield County, VA",County,Virginia,2025-01-01,0.0641155485875445
"Chesterfield County, VA",County,Virginia,2025-02-01,0.0603208703699708
"Chesterfield County, VA",County,Virginia,2025-03-01,0.0577870516057045
"Chicago, IL",City,Illinois,2025-01-01,0.051170224135606
"Chicago, IL",City,Illinois,2025-02-01,0.05000419123792
"Chicago, IL",City,Illinois,2025-03-01,0.0492626441370726
"Chicago-Naperville-Elgin, IL-IN-WI",Metro,Illinois,2025-01-01,0.0506303826082042
"Chicago-Naperville-Elgin, IL-IN-WI",Metro,Illinois,2025-02-01,0.0500612040211855
"Chicago-Naperville-Elgin, IL-IN-WI",Metro,Illinois,2025-03-01,0.0494045868809859
"Chula Vista, CA",City,California,2025-01-01,0.0536960405031238
"Chula Vista, CA",City,California,2025-02-01,0.0511673696173576
"Chula Vista, CA",City,California,2025-03-01,0.0496850282787061
"Cincinnati, OH",City,Ohio,2025-01-01,0.0572235513842795
"Cincinnati, OH",City,Ohio,2025-02-01,0.0566336235546387
"Cincinnati, OH",City,Ohio,2025-03-01,0.0541744189718157
"Cincinnati, OH-KY-IN",Metro,Ohio,2025-01-01,0.0537478131415302
"Cincinnati, OH-KY-IN",Metro,Ohio,2025-02-01,0.0535435567088807
"Cincinnati, OH-KY-IN",Metro,Ohio,2025-03-01,0.0529019648407906
"Clackamas County, OR",County,Oregon,2025-01-01,0.0521806067329076
"Clackamas County, OR",County,Oregon,2025-02-01,0.0511551815089771
"Clackamas County, OR",County,Oregon,2025-03-01,0.0519987036617715
"Clark County, NV",County,Nevada,2025-01-01,0.0659634080661512
"Clark County, NV",County,Nevada,2025-02-01,0.066714568644108
"Clark County, NV",County,Nevada,2025-03-01,0.0663617313724787
"Clark County, WA",County,Washington,2025-01-01,0.0535152485203262
"Clark County, WA",County,Washington,2025-02-01,0.0512806852879163
"Clark County, WA",County,Washington,2025-03-01,0.0504983986757454
"Clay County, MO",County,Missouri,2025-01-01,0.0651692948031366
"Clay County, MO",County,Missouri,2025-02-01,0.0662792716036787
"Clay County, MO",County,Missouri,2025-03-01,0.0681400630764772
"Cleveland, OH",City,Ohio,2025-01-01,0.0899199541934674
"Cleveland, OH",City,Ohio,2025-02-01,0.0905900053246473
"Cleveland, OH",City,Ohio,2025-03-01,0.089296804806
"Cleveland-Elyria, OH",Metro,Ohio,2025-01-01,0.0590947303214207
"Cleveland-Elyria, OH",Metro,Ohio,2025-02-01,0.0589785504784393
"Cleveland-Elyria, OH",Metro,Ohio,2025-03-01,0.0593904333222709
"Cobb County, GA",County,Georgia,2025-01-01,0.0696676312233786
"Cobb County, GA",County,Georgia,2025-02-01,0.0718899881839804
"Cobb County, GA",County,Georgia,2025-03-01,0.0741967681684606
"Collin County, TX",County,Texas,2025-01-01,0.0877903399584059
"Collin County, TX",County,Texas,2025-02-01,0.0878747443184932
"Collin County, TX",County,Texas,2025-03-01,0.0882510737078721
Colorado,State,Colorado,2025-01-01,0.08508264520781
Colorado,State,Colorado,2025-02-01,0.086292916939061
Colorado,State,Colorado,2025-03-01,0.0874939942926135
"Colorado Springs, CO",Metro,Colorado,2025-01-01,0.0910637778345341
"Colorado Springs, CO",City,Colorado,2025-01-01,0.0902918205002309
"Colorado Springs, CO",Metro,Colorado,2025-02-01,0.0945292743838647
"Colorado Springs, CO",City,Colorado,2025-02-01,0.0936969158993324
"Colorado Springs, CO",Metro,Colorado,2025-03-01,0.0976298579533671
"Colorado Springs, CO",City,Colorado,2025-03-01,0.0970477827963843
"Columbia, MD",City,Maryland,2025-01-01,0.0632595041795598
"Columbia, MD",City,Maryland,2025-02-01,0.0619094085944521
"Columbia, MD",City,Maryland,2025-03-01,0.0602215473841852
"Columbia, SC",Metro,South Carolina,2025-01-01,0.0658789228842148
"Columbia, SC",City,South Carolina,2025-01-01,0.0669691227215048
"Columbia, SC",Metro,South Carolina,2025-02-01,0.0658108714163801
"Columbia, SC",City,South Carolina,2025-02-01,0.0662992081917977
"Columbia, SC",Metro,South Carolina,2025-03-01,0.0645200098295386
"Columbia, SC",City,South Carolina,2025-03-01,0.0636535905474579
"Columbus, OH",Metro,Ohio,2025-01-01,0.0588500031784495
"Columbus, OH",City,Ohio,2025-01-01,0.0595997125656721
"Columbus, OH",Metro,Ohio,2025-02-01,0.0572588831435148
"Columbus, OH",City,Ohio,2025-02-01,0.0574896647510207
"Columbus, OH",Metro,Ohio,2025-03-01,0.0566809351362057
"Columbus, OH",City,Ohio,2025-03-01,0.0564011234094896
Connecticut,State,Connecticut,2025-01-01,0.061089232141124
Connecticut,State,Connecticut,2025-02-01,0.0597908135081292
Connecticut,State,Connecticut,2025-03-01,0.0580001928819579
"Conroe, TX",City,Texas,2025-01-01,0.0922732389601806
"Conroe, TX",City,Texas,2025-02-01,0.0930645668923903
"Conroe, TX",City,Texas,2025-03-01,0.0920936388579172
"Contra Costa County, CA",County,California,2025-01-01,0.0476711699000353
"Contra Costa County, CA",County,California,2025-02-01,0.0491258556811542
"Contra Costa County, CA",County,California,2025-03-01,0.0493486268166059
"Cook County, IL",County,Illinois,2025-01-01,0.0487690810927901
"Cook County, IL",County,Illinois,2025-02-01,0.0480001931886283
"Cook County, IL",County,Illinois,2025-03-01,0.0473799131358106
"Corpus Christi, TX",Metro,Texas,2025-01-01,0.0931190875742028
"Corpus Christi, TX",City,Texas,2025-01-01,0.101606573325905
"Corpus Christi, TX",Metro,Texas,2025-02-01,0.0922229288618823
"Corpus Christi, TX",City,Texas,2025-02-01,0.100365778305238
"Corpus Christi, TX",Metro,Texas,2025-03-01,0.0921060361661116
"Corpus Christi, TX",City,Texas,2025-03-01,0.0997658176917118
"Cuyahoga County, OH",County,Ohio,2025-01-01,0.0615542629040719
"Cuyahoga County, OH",County,Ohio,2025-02-01,0.0624111275567077
"Cuyahoga County, OH",County,Ohio,2025-03-01,0.0641281777993519
"Dakota County, MN",County,Minnesota,2025-01-01,0.0644817574215058
"Dakota County, MN",County,Minnesota,2025-02-01,0.0662271377296921
"Dakota County, MN",County,Minnesota,2025-03-01,0.0668493746510405
"Dallas County, TX",County,Texas,2025-01-01,0.0813611381350026
"Dallas County, TX",County,Texas,2025-02-01,0.0815076554857378
"Dallas County, TX",County,Texas,2025-03-01,0.0816553617932028
"Dallas, TX",City,Texas,2025-01-01,0.0839929358524862
"Dallas, TX",City,Texas,2025-02-01,0.0842207245456714
"Dallas, TX",City,Texas,2025-03-01,0.0841094191479902
"Dallas-Fort Worth-Arlington, TX",Metro,Texas,2025-01-01,0.0848828767159165
"Dallas-Fort Worth-Arlington, TX",Metro,Texas,2025-02-01,0.0856784134480337
"Dallas-Fort Worth-Arlington, TX",Metro,Texas,2025-03-01,0.0861243377314339
"Dane County, WI",County,Wisconsin,2025-01-01,0.0616309791044408
"Dane County, WI",County,Wisconsin,2025-02-01,0.0631367303335907
"Dane County, WI",County,Wisconsin,2025-03-01,0.0656539530264865
"Davidson County, TN",County,Tennessee,2025-01-01,0.0789104607105261
"Davidson County, TN",County,Tennessee,2025-02-01,0.0802554545139649
"Davidson County, TN",County,Tennessee,2025-03-01,0.0820376620100382
"Davis County, UT",County,Utah,2025-01-01,0.0680006759647831
"Davis County, UT",County,Utah,2025-02-01,0.0677375579607002
"Davis County, UT",County,Utah,2025-03-01,0.0689054252265269
"Dayton-Kettering, OH",Metro,Ohio,2025-01-01,0.058574496042661
"Dayton-Kettering, OH",Metro,Ohio,2025-02-01,0.0579474772596128
"Dayton-Kettering, OH",Metro,Ohio,2025-03-01,0.0565509814682148
"DeKalb County, GA",County,Georgia,2025-01-01,0.0855914166464335
"DeKalb County, GA",County,Georgia,2025-02-01,0.0870539595290763
"DeKalb County, GA",County,Georgia,2025-03-01,0.0875332107306218
"Decatur, GA",City,Georgia,2025-01-01,0.161443162893069
"Decatur, GA",City,Georgia,2025-02-01,0.160175856047612
"Decatur, GA",City,Georgia,2025-03-01,0.155045711901624
"Delaware County, PA",County,Pennsylvania,2025-01-01,0.0487226486638734
"Delaware County, PA",County,Pennsylvania,2025-02-01,0.0497989048248896
"Delaware County, PA",County,Pennsylvania,2025-03-01,0.0516812698101958
"Deltona-Daytona Beach-Ormond Beach, FL",Metro,Florida,2025-01-01,0.0755268417699647
"Deltona-Daytona Beach-Ormond Beach, FL",Metro,Florida,2025-02-01,0.0754575198029784
"Deltona-Daytona Beach-Ormond Beach, FL",Metro,Florida,2025-03-01,0.0749283728887054
"Denton County, TX",County,Texas,2025-01-01,0.0908011716005267
"Denton County, TX",County,Texas,2025-02-01,0.0922866945327874
"Denton County, TX",County,Texas,2025-03-01,0.0931851684881186
"Denton, TX",City,Texas,2025-01-01,0.121238795706522
"Denton, TX",City,Texas,2025-02-01,0.1211318699544
"Denton, TX",City,Texas,2025-03-01,0.123359171133348
"Denver County, CO",County,Colorado,2025-01-01,0.0900887939446243
"Denver County, CO",County,Colorado,2025-02-01,0.0901654048359835
"Denver County, CO",County,Colorado,2025-03-01,0.0903008086706066
"Denver, CO",City,Colorado,2025-01-01,0.0886952435897777
"Denver, CO",City,Colorado,2025-02-01,0.0890669768082832
"Denver, CO",City,Colorado,2025-03-01,0.0896124726474599
"Denver-Aurora-Lakewood, CO",Metro,Colorado,2025-01-01,0.0844006203426316
"Denver-Aurora-Lakewood, CO",Metro,Colorado,2025-02-01,0.085051251349803
"Denver-Aurora-Lakewood, CO",Metro,Colorado,2025-03-01,0.0859620090171212
"Des Moines, IA",City,Iowa,2025-01-01,0.0710668933388691
"Des Moines, IA",City,Iowa,2025-02-01,0.0743136665335326
"Des Moines, IA",City,Iowa,2025-03-01,0.0778163816851614
"Des Moines-West Des Moines, IA",Metro,Iowa,2025-01-01,0.0755891700753741
"Des Moines-West Des Moines, IA",Metro,Iowa,2025-02-01,0.077982841473287
"Des Moines-West Des Moines, IA",Metro,Iowa,2025-03-01,0.0797006326509914
"Detroit, MI",City,Michigan,2025-01-01,0.0580867732626314
"Detroit, MI",City,Michigan,2025-02-01,0.0564189077473786
"Detroit, MI",City,Michigan,2025-03-01,0.0546429364545454
"Detroit-Warren-Dearborn, MI",Metro,Michigan,2025-01-01,0.0527607907600686
"Detroit-Warren-Dearborn, MI",Metro,Michigan,2025-02-01,0.0518212101020112
"Detroit-Warren-Dearborn, MI",Metro,Michigan,2025-03-01,0.0511793313865366
District of Columbia,State,District of Columbia,2025-01-01,0.0578558749409826
District of Columbia,State,District of Columbia,2025-02-01,0.0584639412074736
District of Columbia,State,District of Columbia,2025-03-01,0.060545902816391
"District of Columbia County, DC",County,District of Columbia,2025-01-01,0.057774996293534
"District of Columbia County, DC",County,District of Columbia,2025-02-01,0.0583783158594695
"District of Columbia County, DC",County,District of Columbia,2025-03-01,0.0604710239022764
"Douglas County, CO",County,Colorado,2025-01-01,0.0833269717376095
"Douglas County, CO",County,Colorado,2025-02-01,0.086627637270425
"Douglas County, CO",County,Colorado,2025-03-01,0.089681450216775
"Douglas County, NE",County,Nebraska,2025-01-01,0.0593401911017451
"Douglas County, NE",County,Nebraska,2025-02-01,0.0579062468214642
"Douglas County, NE",County,Nebraska,2025-03-01,0.0562030075479118
"DuPage County, IL",County,Illinois,2025-01-01,0.0543998585697301
"DuPage County, IL",County,Illinois,2025-02-01,0.0547685076772366
"DuPage County, IL",County,Illinois,2025-03-01,0.0553997598697576
"Duluth, GA",City,Georgia,2025-01-01,0.0703397948528719
"Duluth, GA",City,Georgia,2025-02-01,0.0710775799449186
"Duluth, GA",City,Georgia,2025-03-01,0.0706226213516138
"Durham County, NC",County,North Carolina,2025-01-01,0.0745456077933287
"Durham County, NC",County,North Carolina,2025-02-01,0.0757162945511214
"Durham County, NC",County,North Carolina,2025-03-01,0.076826992027448
"Durham, NC",City,North Carolina,2025-01-01,0.0717124929695409
"Durham, NC",City,North Carolina,2025-02-01,0.0731424587041039
"Durham, NC",City,North Carolina,2025-03-01,0.0742548991900564
"Durham-Chapel Hill, NC",Metro,North Carolina,2025-01-01,0.0727885715616262
"Durham-Chapel Hill, NC",Metro,North Carolina,2025-02-01,0.0749615463048716
"Durham-Chapel Hill, NC",Metro,North Carolina,2025-03-01,0.0773029834799358
"Duval County, FL",County,Florida,2025-01-01,0.0707248992139049
"Duval County, FL",County,Florida,2025-02-01,0.0710591795019347
"Duval County, FL",County,Florida,2025-03-01,0.0703977035251792
"East Baton Rouge County, LA",County,Louisiana,2025-01-01,0.0695573026414381
"East Baton Rouge County, LA",County,Louisiana,2025-02-01,0.0702521359440238
"East Baton Rouge County, LA",County,Louisiana,2025-03-01,0.0707018887640567
"El Paso County, CO",County,Colorado,2025-01-01,0.0913853196908836
"El Paso County, CO",County,Colorado,2025-02-01,0.0947474641187986
"El Paso County, CO",County,Colorado,2025-03-01,0.0977580386780482
"Englewood, CO",City,Colorado,2025-01-01,0.0786079733423351
"Englewood, CO",City,Colorado,2025-02-01,0.0744364864222894
