area_name,fips,state,studio_rent,one_bed_rent,two_bed_rent,three_bed_rent,four_bed_rent,private_studio_rent,private_one_bed_rent,private_two_bed_rent,private_three_bed_rent,private_four_bed_rent
"Pike County, AR",510999999,5.0,538,553,630,824,1041,591.8000000000001,635.9499999999999,743.4,988.8,1270.02
"Poinsett County, AR HUD Metro FMR Area",511199999,5.0,475,478,630,833,911,522.5,549.6999999999999,743.4,999.5999999999999,1111.42
"Polk County, AR",511399999,5.0,418,496,630,785,1060,459.8,570.4,743.4,942.0,1293.2
"Pope County, AR",511599999,5.0,480,498,656,946,973,528.0,572.6999999999999,774.0799999999999,1135.2,1187.06
"Prairie County, AR",511799999,5.0,459,478,630,785,908,504.90000000000003,549.6999999999999,743.4,942.0,1107.76
"Randolph County, AR",512199999,5.0,459,478,630,817,908,504.90000000000003,549.6999999999999,743.4,980.4,1107.76
"St. Francis County, AR",512399999,5.0,425,478,630,909,1086,467.50000000000006,549.6999999999999,743.4,1090.8,1324.92
"Scott County, AR",512799999,5.0,459,478,630,785,908,504.90000000000003,549.6999999999999,743.4,942.0,1107.76
"Searcy County, AR",512999999,5.0,459,500,630,883,908,504.90000000000003,575.0,743.4,1059.6,1107.76
"Sevier County, AR",513399999,5.0,410,526,630,785,908,451.00000000000006,604.9,743.4,942.0,1107.76
"Sharp County, AR",513599999,5.0,410,482,630,836,945,451.00000000000006,554.3,743.4,1003.1999999999999,1152.8999999999999
"Stone County, AR",513799999,5.0,461,481,633,789,858,507.1,553.15,746.9399999999999,946.8,1046.76
"Union County, AR",513999999,5.0,539,555,632,901,1105,592.9000000000001,638.25,745.76,1081.2,1348.1
"Van Buren County, AR",514199999,5.0,468,488,643,801,871,514.8000000000001,561.1999999999999,758.74,961.1999999999999,1062.62
"White County, AR",514599999,5.0,494,537,678,943,1190,543.4000000000001,617.55,800.04,1131.6,1451.8
"Woodruff County, AR",514799999,5.0,418,490,630,785,853,459.8,563.5,743.4,942.0,1040.66
"Yell County, AR",514999999,5.0,534,536,630,832,996,587.4000000000001,616.4,743.4,998.4,1215.12
"Alpine County, CA",600399999,6.0,685,778,1014,1457,1617,753.5000000000001,894.6999999999999,1196.52,1748.3999999999999,1972.74
"Amador County, CA",600599999,6.0,851,856,1128,1627,1908,936.1,984.4,1331.04,1952.3999999999999,2327.7599999999998
"Calaveras County, CA",600999999,6.0,668,849,988,1425,1735,734.8000000000001,976.3499999999999,1165.84,1710.0,2116.7
"Colusa County, CA",601199999,6.0,634,712,938,1353,1647,697.4000000000001,818.8,1106.84,1623.6,2009.34
"Del Norte County, CA",601599999,6.0,661,775,978,1369,1571,727.1,891.2499999999999,1154.04,1642.8,1916.62
"Glenn County, CA",602199999,6.0,597,670,883,1100,1196,656.7,770.4999999999999,1041.94,1320.0,1459.12
"Humboldt County, CA",602399999,6.0,687,806,1040,1500,1797,755.7,926.9,1227.2,1800.0,2192.34
"Inyo County, CA",602799999,6.0,783,788,973,1313,1318,861.3000000000001,906.1999999999999,1148.1399999999999,1575.6,1607.96
"Lake County, CA",603399999,6.0,662,773,1016,1466,1567,728.2,888.9499999999999,1198.8799999999999,1759.2,1911.74
"Lassen County, CA",603599999,6.0,609,684,901,1300,1403,669.9000000000001,786.5999999999999,1063.1799999999998,1560.0,1711.6599999999999
"Mariposa County, CA",604399999,6.0,716,804,1059,1376,1859,787.6,924.5999999999999,1249.62,1651.2,2267.98
"Mendocino County, CA",604599999,6.0,805,892,1173,1659,1932,885.5000000000001,1025.8,1384.1399999999999,1990.8,2357.04
"Modoc County, CA",604999999,6.0,520,585,770,1062,1228,572.0,672.75,908.5999999999999,1274.3999999999999,1498.1599999999999
"Mono County, CA",605199999,6.0,872,979,1290,1699,2058,959.2,1125.85,1522.1999999999998,2038.8,2510.7599999999998
"Nevada County, CA",605799999,6.0,856,998,1314,1896,2052,941.6,1147.6999999999998,1550.52,2275.2,2503.44
"Plumas County, CA",606399999,6.0,619,722,916,1250,1453,680.9000000000001,830.3,1080.8799999999999,1500.0,1772.6599999999999
"San Benito County, CA HUD Metro FMR Area",606999999,6.0,1290,1298,1710,2467,3002,1419.0000000000002,1492.6999999999998,2017.8,2960.4,3662.44
"Sierra County, CA",609199999,6.0,858,975,1270,1825,2026,943.8000000000001,1121.25,1498.6,2190.0,2471.72
"Siskiyou County, CA",609399999,6.0,591,650,856,1218,1344,650.1,747.4999999999999,1010.0799999999999,1461.6,1639.68
"Tehama County, CA",610399999,6.0,649,689,908,1216,1304,713.9000000000001,792.3499999999999,1071.44,1459.2,1590.8799999999999
"Trinity County, CA",610599999,6.0,576,684,852,1229,1359,633.6,786.5999999999999,1005.3599999999999,1474.8,1657.98
"Tuolumne County, CA",610999999,6.0,694,827,1015,1453,1774,763.4000000000001,951.05,1197.7,1743.6,2164.2799999999997
"Alamosa County, CO",800399999,8.0,606,609,749,984,1162,666.6,700.3499999999999,883.8199999999999,1180.8,1417.6399999999999
"Archuleta County, CO",800799999,8.0,693,698,919,1171,1605,762.3000000000001,802.6999999999999,1084.4199999999998,1405.2,1958.1
"Baca County, CO",800999999,8.0,606,609,714,1030,1254,666.6,700.3499999999999,842.52,1236.0,1529.8799999999999
"Bent County, CO",801199999,8.0,594,597,714,890,967,653.4000000000001,686.55,842.52,1068.0,1179.74
"Chaffee County, CO",801599999,8.0,536,722,822,1149,1275,589.6,830.3,969.9599999999999,1378.8,1555.5
"Cheyenne County, CO",801799999,8.0,539,542,714,914,1107,592.9000000000001,623.3,842.52,1096.8,1350.54
"Conejos County, CO",802199999,8.0,572,576,714,920,967,629.2,662.4,842.52,1104.0,1179.74
"Costilla County, CO",802399999,8.0,572,576,714,890,1107,629.2,662.4,842.52,1068.0,1350.54
"Crowley County, CO",802599999,8.0,587,596,732,975,992,645.7,685.4,863.76,1170.0,1210.24
"Custer County, CO",802799999,8.0,562,566,745,970,1308,618.2,650.9,879.0999999999999,1164.0,1595.76
"Delta County, CO",802999999,8.0,664,668,880,1118,1192,730.4000000000001,768.1999999999999,1038.3999999999999,1341.6,1454.24
"Dolores County, CO",803399999,8.0,609,627,714,1030,1107,669.9000000000001,721.05,842.52,1236.0,1350.54
"Eagle County, CO",803799999,8.0,934,1120,1434,1787,1943,1027.4,1288.0,1692.12,2144.4,2370.46
"Fremont County, CO",804399999,8.0,593,597,786,1121,1202,652.3000000000001,686.55,927.4799999999999,1345.2,1466.44
"Garfield County, CO",804599999,8.0,866,872,1140,1551,1982,952.6,1002.8,1345.1999999999998,1861.1999999999998,2418.04
"Grand County, CO",804999999,8.0,660,769,1013,1356,1730,726.0000000000001,884.3499999999999,1195.34,1627.2,2110.6
"Gunnison County, CO",805199999,8.0,718,722,874,1243,1534,789.8000000000001,830.3,1031.32,1491.6,1871.48
"Hinsdale County, CO",805399999,8.0,552,676,769,1049,1193,607.2,777.4,907.42,1258.8,1455.46
"Huerfano County, CO",805599999,8.0,589,593,733,913,1137,647.9000000000001,681.9499999999999,864.9399999999999,1095.6,1387.1399999999999
"Jackson County, CO",805799999,8.0,685,689,855,1166,1326,753.5000000000001,792.3499999999999,1008.9,1399.2,1617.72
"Kiowa County, CO",806199999,8.0,685,689,855,1166,1326,753.5000000000001,792.3499999999999,1008.9,1399.2,1617.72
"Kit Carson County, CO",806399999,8.0,549,553,728,997,1278,603.9000000000001,635.9499999999999,859.04,1196.3999999999999,1559.1599999999999
"Lake County, CO",806599999,8.0,670,682,787,1119,1206,737.0000000000001,784.3,928.66,1342.8,1471.32
"La Plata County, CO",806799999,8.0,824,864,983,1418,1522,906.4000000000001,993.5999999999999,1159.9399999999998,1701.6,1856.84
"Las Animas County, CO",807199999,8.0,587,591,778,1122,1159,645.7,679.65,918.04,1346.3999999999999,1413.98
"Lincoln County, CO",807399999,8.0,572,576,758,981,1331,629.2,662.4,894.4399999999999,1177.2,1623.82
"Logan County, CO",807599999,8.0,628,632,748,1079,1225,690.8000000000001,726.8,882.64,1294.8,1494.5
"Mineral County, CO",807999999,8.0,685,689,855,1166,1326,753.5000000000001,792.3499999999999,1008.9,1399.2,1617.72
"Moffat County, CO",808199999,8.0,621,638,762,1019,1277,683.1,733.6999999999999,899.16,1222.8,1557.94
"Montezuma County, CO",808399999,8.0,594,598,787,1039,1311,653.4000000000001,687.6999999999999,928.66,1246.8,1599.42
"Montrose County, CO",808599999,8.0,616,620,817,1151,1155,677.6,713.0,964.06,1381.2,1409.1
"Morgan County, CO",808799999,8.0,515,601,791,997,1187,566.5,691.15,933.38,1196.3999999999999,1448.1399999999999
"Otero County, CO",808999999,8.0,570,574,756,942,1173,627.0,660.0999999999999,892.0799999999999,1130.3999999999999,1431.06
"Ouray County, CO",809199999,8.0,755,880,1159,1444,1798,830.5000000000001,1011.9999999999999,1367.62,1732.8,2193.56
"Phillips County, CO",809599999,8.0,539,542,714,963,1076,592.9000000000001,623.3,842.52,1155.6,1312.72
"Pitkin County, CO",809799999,8.0,1029,1199,1579,2131,2139,1131.9,1378.85,1863.2199999999998,2557.2,2609.58
"Prowers County, CO",809999999,8.0,609,627,714,926,1137,669.9000000000001,721.05,842.52,1111.2,1387.1399999999999
"Rio Blanco County, CO",810399999,8.0,608,612,806,1071,1103,668.8000000000001,703.8,951.0799999999999,1285.2,1345.66
"Rio Grande County, CO",810599999,8.0,572,576,714,975,995,629.2,662.4,842.52,1170.0,1213.8999999999999
"Routt County, CO",810799999,8.0,926,932,1228,1691,2061,1018.6000000000001,1071.8,1449.04,2029.1999999999998,2514.42
"Saguache County, CO",810999999,8.0,539,542,714,964,967,592.9000000000001,623.3,842.52,1156.8,1179.74
"San Juan County, CO",811199999,8.0,774,778,1004,1258,1538,851.4000000000001,894.6999999999999,1184.72,1509.6,1876.36
"San Miguel County, CO",811399999,8.0,884,1030,1357,1877,2105,972.4000000000001,1184.5,1601.26,2252.4,2568.1
"Sedgwick County, CO",811599999,8.0,539,542,714,890,1162,592.9000000000001,623.3,842.52,1068.0,1417.6399999999999
"Summit County, CO",811799999,8.0,1086,1098,1414,1762,2193,1194.6000000000001,1262.6999999999998,1668.52,2114.4,2675.46
"Teller County, CO HUD Metro FMR Area",811999999,8.0,727,847,1116,1610,1858,799.7,974.05,1316.8799999999999,1932.0,2266.7599999999998
"Washington County, CO",812199999,8.0,609,627,714,890,1107,669.9000000000001,721.05,842.52,1068.0,1350.54
"Yuma County, CO",812599999,8.0,539,542,714,1021,1046,592.9000000000001,623.3,842.52,1225.2,1276.12
"Litchfield County, CT",900502760,9.0,770,916,1180,1502,1599,847.0000000000001,1053.3999999999999,1392.3999999999999,1802.3999999999999,1950.78
"Litchfield County, CT",900504930,9.0,770,916,1180,1502,1599,847.0000000000001,1053.3999999999999,1392.3999999999999,1802.3999999999999,1950.78
"Litchfield County, CT",900508210,9.0,770,916,1180,1502,1599,847.0000000000001,1053.3999999999999,1392.3999999999999,1802.3999999999999,1950.78
"Litchfield County, CT",900510940,9.0,770,916,1180,1502,1599,847.0000000000001,1053.3999999999999,1392.3999999999999,1802.3999999999999,1950.78
"Litchfield County, CT",900516050,9.0,770,916,1180,1502,1599,847.0000000000001,1053.3999999999999,1392.3999999999999,1802.3999999999999,1950.78
"Litchfield County, CT",900517240,9.0,770,916,1180,1502,1599,847.0000000000001,1053.3999999999999,1392.3999999999999,1802.3999999999999,1950.78
"Litchfield County, CT",900532290,9.0,770,916,1180,1502,1599,847.0000000000001,1053.3999999999999,1392.3999999999999,1802.3999999999999,1950.78
"Litchfield County, CT",900537280,9.0,770,916,1180,1502,1599,847.0000000000001,1053.3999999999999,1392.3999999999999,1802.3999999999999,1950.78
"Litchfield County, CT",900540290,9.0,770,916,1180,1502,1599,847.0000000000001,1053.3999999999999,1392.3999999999999,1802.3999999999999,1950.78
"Litchfield County, CT",900543370,9.0,770,916,1180,1502,1599,847.0000000000001,1053.3999999999999,1392.3999999999999,1802.3999999999999,1950.78
"Litchfield County, CT",900549460,9.0,770,916,1180,1502,1599,847.0000000000001,1053.3999999999999,1392.3999999999999,1802.3999999999999,1950.78
"Litchfield County, CT",900551350,9.0,770,916,1180,1502,1599,847.0000000000001,1053.3999999999999,1392.3999999999999,1802.3999999999999,1950.78
"Litchfield County, CT",900552630,9.0,770,916,1180,1502,1599,847.0000000000001,1053.3999999999999,1392.3999999999999,1802.3999999999999,1950.78
"Litchfield County, CT",900553470,9.0,770,916,1180,1502,1599,847.0000000000001,1053.3999999999999,1392.3999999999999,1802.3999999999999,1950.78
"Litchfield County, CT",900554030,9.0,770,916,1180,1502,1599,847.0000000000001,1053.3999999999999,1392.3999999999999,1802.3999999999999,1950.78
"Litchfield County, CT",900560750,9.0,770,916,1180,1502,1599,847.0000000000001,1053.3999999999999,1392.3999999999999,1802.3999999999999,1950.78
"Litchfield County, CT",900565930,9.0,770,916,1180,1502,1599,847.0000000000001,1053.3999999999999,1392.3999999999999,1802.3999999999999,1950.78
"Litchfield County, CT",900566420,9.0,770,916,1180,1502,1599,847.0000000000001,1053.3999999999999,1392.3999999999999,1802.3999999999999,1950.78
"Litchfield County, CT",900567960,9.0,770,916,1180,1502,1599,847.0000000000001,1053.3999999999999,1392.3999999999999,1802.3999999999999,1950.78
"Litchfield County, CT",900575730,9.0,770,916,1180,1502,1599,847.0000000000001,1053.3999999999999,1392.3999999999999,1802.3999999999999,1950.78
"Litchfield County, CT",900576570,9.0,770,916,1180,1502,1599,847.0000000000001,1053.3999999999999,1392.3999999999999,1802.3999999999999,1950.78
"Litchfield County, CT",900579510,9.0,770,916,1180,1502,1599,847.0000000000001,1053.3999999999999,1392.3999999999999,1802.3999999999999,1950.78
"Litchfield County, CT",900579720,9.0,770,916,1180,1502,1599,847.0000000000001,1053.3999999999999,1392.3999999999999,1802.3999999999999,1950.78
"Litchfield County, CT",900580490,9.0,770,916,1180,1502,1599,847.0000000000001,1053.3999999999999,1392.3999999999999,1802.3999999999999,1950.78
"Litchfield County, CT",900586440,9.0,770,916,1180,1502,1599,847.0000000000001,1053.3999999999999,1392.3999999999999,1802.3999999999999,1950.78
"Litchfield County, CT",900587910,9.0,770,916,1180,1502,1599,847.0000000000001,1053.3999999999999,1392.3999999999999,1802.3999999999999,1950.78
"Southern Middlesex County, CT HUD Metro FMR Area",900715350,9.0,944,1100,1449,2090,2544,1038.4,1265.0,1709.82,2508.0,3103.68
"Southern Middlesex County, CT HUD Metro FMR Area",900719130,9.0,944,1100,1449,2090,2544,1038.4,1265.0,1709.82,2508.0,3103.68
"Southern Middlesex County, CT HUD Metro FMR Area",900726270,9.0,944,1100,1449,2090,2544,1038.4,1265.0,1709.82,2508.0,3103.68
"Southern Middlesex County, CT HUD Metro FMR Area",900740710,9.0,944,1100,1449,2090,2544,1038.4,1265.0,1709.82,2508.0,3103.68
"Southern Middlesex County, CT HUD Metro FMR Area",900757320,9.0,944,1100,1449,2090,2544,1038.4,1265.0,1709.82,2508.0,3103.68
"Southern Middlesex County, CT HUD Metro FMR Area",900781680,9.0,944,1100,1449,2090,2544,1038.4,1265.0,1709.82,2508.0,3103.68
"Windham County, CT HUD Metro FMR Area",901501430,9.0,787,811,1020,1304,1571,865.7,932.65,1203.6,1564.8,1916.62
"Windham County, CT HUD Metro FMR Area",901509190,9.0,787,811,1020,1304,1571,865.7,932.65,1203.6,1564.8,1916.62
"Windham County, CT HUD Metro FMR Area",901512130,9.0,787,811,1020,1304,1571,865.7,932.65,1203.6,1564.8,1916.62
"Windham County, CT HUD Metro FMR Area",901513810,9.0,787,811,1020,1304,1571,865.7,932.65,1203.6,1564.8,1916.62
"Windham County, CT HUD Metro FMR Area",901521860,9.0,787,811,1020,1304,1571,865.7,932.65,1203.6,1564.8,1916.62
"Windham County, CT HUD Metro FMR Area",901536000,9.0,787,811,1020,1304,1571,865.7,932.65,1203.6,1564.8,1916.62
"Windham County, CT HUD Metro FMR Area",901540500,9.0,787,811,1020,1304,1571,865.7,932.65,1203.6,1564.8,1916.62
"Windham County, CT HUD Metro FMR Area",901559980,9.0,787,811,1020,1304,1571,865.7,932.65,1203.6,1564.8,1916.62
"Windham County, CT HUD Metro FMR Area",901561030,9.0,787,811,1020,1304,1571,865.7,932.65,1203.6,1564.8,1916.62
"Windham County, CT HUD Metro FMR Area",901562710,9.0,787,811,1020,1304,1571,865.7,932.65,1203.6,1564.8,1916.62
"Windham County, CT HUD Metro FMR Area",901567400,9.0,787,811,1020,1304,1571,865.7,932.65,1203.6,1564.8,1916.62
"Windham County, CT HUD Metro FMR Area",901573420,9.0,787,811,1020,1304,1571,865.7,932.65,1203.6,1564.8,1916.62
"Windham County, CT HUD Metro FMR Area",901575870,9.0,787,811,1020,1304,1571,865.7,932.65,1203.6,1564.8,1916.62
"Windham County, CT HUD Metro FMR Area",901586790,9.0,787,811,1020,1304,1571,865.7,932.65,1203.6,1564.8,1916.62
"Windham County, CT HUD Metro FMR Area",901588190,9.0,787,811,1020,1304,1571,865.7,932.65,1203.6,1564.8,1916.62
"Sussex County, DE HUD Metro FMR Area",1000599999,10.0,637,731,948,1369,1549,700.7,840.65,1118.6399999999999,1642.8,1889.78
"Baker County, FL HUD Metro FMR Area",1200399999,12.0,522,598,788,982,1324,574.2,687.6999999999999,929.8399999999999,1178.3999999999999,1615.28
