"State","County","Median Housing Value, 2023 ($)","Median Property Taxes Paid, 2023 ($)(5-Year Estimate)","Effective Property Tax Rate (2023)"
"Montana","Deer Lodge County","209700","1,706","0.8135%"
"Montana","Fallon County","237000","1,359","0.5734%"
"Montana","Fergus County","202700","1,709","0.8431%"
"Montana","Flathead County","467700","2,867","0.6130%"
"Montana","Gallatin County","604900","3,625","0.5993%"
"Montana","Garfield County","178300","1,169","0.6556%"
"Montana","Glacier County","153400","1,246","0.8123%"
"Montana","Golden Valley County","203900","1,038","0.5091%"
"Montana","Granite County","339500","2,061","0.6071%"
"Montana","Hill County","187600","2,026","1.0800%"
"Montana","Jefferson County","408000","2,274","0.5574%"
"Montana","Judith Basin County","214200","971","0.4533%"
"Montana","Lake County","369200","2,436","0.6598%"
"Montana","Lewis and Clark County","358200","2,886","0.8057%"
"Montana","Liberty County","116800","1,204","1.0308%"
"Montana","Lincoln County","258700","1,499","0.5794%"
"Montana","McCone County","197400","1,330","0.6738%"
"Montana","Madison County","440500","1,800","0.4086%"
"Montana","Meagher County","244400","1,705","0.6976%"
"Montana","Mineral County","313600","1,728","0.5510%"
"Montana","Missoula County","423100","3,833","0.9059%"
"Montana","Musselshell County","221200","1,383","0.6252%"
"Montana","Park County","429700","2,454","0.5711%"
"Montana","Petroleum County","173700","1,261","0.7260%"
"Montana","Phillips County","175000","1,484","0.8480%"
"Montana","Pondera County","179200","1,584","0.8839%"
"Montana","Powder River County","149400","1,237","0.8280%"
"Montana","Powell County","255700","1,809","0.7075%"
"Montana","Prairie County","167100","1,428","0.8546%"
"Montana","Ravalli County","435000","2,303","0.5294%"
"Montana","Richland County","259000","1,935","0.7471%"
"Montana","Roosevelt County","119400","1,535","1.2856%"
"Montana","Rosebud County","188900","1,191","0.6305%"
"Montana","Sanders County","323800","1,777","0.5488%"
"Montana","Sheridan County","111600","1,436","1.2867%"
"Montana","Silver Bow County","223500","2,357","1.0546%"
"Montana","Stillwater County","355600","2,131","0.5993%"
"Montana","Sweet Grass County","295500","1,452","0.4914%"
"Montana","Teton County","235500","1,929","0.8191%"
"Montana","Toole County","187400","1,805","0.9632%"
"Montana","Treasure County","215300","1,326","0.6159%"
"Montana","Valley County","198600","2,185","1.1002%"
"Montana","Wheatland County","172700","1,122","0.6497%"
"Montana","Wibaux County","92300","654","0.7086%"
"Montana","Yellowstone County","317600","2,669","0.8404%"
"Nebraska","Adams County","185800","2,670","1.4370%"
"Nebraska","Antelope County","116900","1,426","1.2198%"
"Nebraska","Arthur County","188800","1,574","0.8337%"
"Nebraska","Banner County","166300","2,516","1.5129%"
"Nebraska","Blaine County","102100","1,211","1.1861%"
"Nebraska","Boone County","164700","1,673","1.0158%"
"Nebraska","Box Butte County","161100","2,397","1.4879%"
"Nebraska","Boyd County","104000","1,268","1.2192%"
"Nebraska","Brown County","100200","1,082","1.0798%"
"Nebraska","Buffalo County","236800","3,435","1.4506%"
"Nebraska","Burt County","125400","1,824","1.4545%"
"Nebraska","Butler County","165700","1,941","1.1714%"
"Nebraska","Cass County","247200","3,545","1.4341%"
"Nebraska","Cedar County","175500","1,827","1.0410%"
"Nebraska","Chase County","178700","2,156","1.2065%"
"Nebraska","Cherry County","136000","1,373","1.0096%"
"Nebraska","Cheyenne County","129100","2,248","1.7413%"
"Nebraska","Clay County","146300","1,886","1.2891%"
"Nebraska","Colfax County","128800","1,612","1.2516%"
"Nebraska","Cuming County","174900","1,815","1.0377%"
"Nebraska","Custer County","160500","1,849","1.1520%"
"Nebraska","Dakota County","168100","2,680","1.5943%"
"Nebraska","Dawes County","146500","1,970","1.3447%"
"Nebraska","Dawson County","157800","1,989","1.2605%"
"Nebraska","Deuel County","97200","1,455","1.4969%"
"Nebraska","Dixon County","141400","1,714","1.2122%"
"Nebraska","Dodge County","188100","2,591","1.3775%"
"Nebraska","Douglas County","245800","4,295","1.7474%"
"Nebraska","Dundy County","118200","971","0.8215%"
"Nebraska","Fillmore County","131200","1,481","1.1288%"
"Nebraska","Franklin County","99100","1,123","1.1332%"
"Nebraska","Frontier County","138800","1,979","1.4258%"
"Nebraska","Furnas County","91800","1,330","1.4488%"
"Nebraska","Gage County","167100","2,406","1.4399%"
"Nebraska","Garden County","95500","1,127","1.1801%"
"Nebraska","Garfield County","144900","2,085","1.4389%"
"Nebraska","Gosper County","202700","2,407","1.1875%"
"Nebraska","Grant County","113900","853","0.7489%"
"Nebraska","Greeley County","87800","1,372","1.5626%"
"Nebraska","Hall County","207900","2,854","1.3728%"
"Nebraska","Hamilton County","238700","2,287","0.9581%"
"Nebraska","Harlan County","147200","1,690","1.1481%"
"Nebraska","Hayes County","112800","1,429","1.2668%"
"Nebraska","Hitchcock County","88800","1,105","1.2444%"
"Nebraska","Holt County","152000","1,731","1.1388%"
"Nebraska","Hooker County","85400","1,222","1.4309%"
"Nebraska","Howard County","205200","2,314","1.1277%"
"Nebraska","Jefferson County","117600","1,709","1.4532%"
"Nebraska","Johnson County","131500","1,993","1.5156%"
"Nebraska","Kearney County","218300","2,675","1.2254%"
"Nebraska","Keith County","157000","2,204","1.4038%"
"Nebraska","Keya Paha County","108800","1,240","1.1397%"
"Nebraska","Kimball County","109900","1,905","1.7334%"
"Nebraska","Knox County","116900","1,426","1.2198%"
"Nebraska","Lancaster County","258900","4,055","1.5662%"
"Nebraska","Lincoln County","183100","2,704","1.4768%"
"Nebraska","Logan County","160000","1,603","1.0019%"
"Nebraska","Loup County","120700","965","0.7995%"
"Nebraska","McPherson County","124200","1,320","1.0628%"
"Nebraska","Madison County","196000","2,619","1.3362%"
"Nebraska","Merrick County","168000","1,969","1.1720%"
"Nebraska","Morrill County","112000","1,453","1.2973%"
"Nebraska","Nance County","122800","1,470","1.1971%"
"Nebraska","Nemaha County","125100","1,761","1.4077%"
"Nebraska","Nuckolls County","90900","1,164","1.2805%"
"Nebraska","Otoe County","185000","2,658","1.4368%"
"Nebraska","Pawnee County","74800","1,191","1.5922%"
"Nebraska","Perkins County","149200","1,513","1.0141%"
"Nebraska","Phelps County","173300","2,386","1.3768%"
"Nebraska","Pierce County","182700","2,115","1.1576%"
"Nebraska","Platte County","207800","2,789","1.3422%"
"Nebraska","Polk County","177800","1,748","0.9831%"
"Nebraska","Red Willow County","143500","1,811","1.2620%"
"Nebraska","Richardson County","96500","1,329","1.3772%"
"Nebraska","Rock County","124400","1,264","1.0161%"
"Nebraska","Saline County","180700","2,445","1.3531%"
"Nebraska","Sarpy County","287600","5,157","1.7931%"
"Nebraska","Saunders County","241100","3,247","1.3467%"
"Nebraska","Scotts Bluff County","161400","2,401","1.4876%"
"Nebraska","Seward County","232400","2,791","1.2009%"
"Nebraska","Sheridan County","102900","1,416","1.3761%"
"Nebraska","Sherman County","135000","1,652","1.2237%"
"Nebraska","Sioux County","141700","1,721","1.2145%"
"Nebraska","Stanton County","184300","2,409","1.3071%"
"Nebraska","Thayer County","106200","1,207","1.1365%"
"Nebraska","Thomas County","113000","1,228","1.0867%"
"Nebraska","Thurston County","105100","1,599","1.5214%"
"Nebraska","Valley County","122200","1,897","1.5524%"
"Nebraska","Washington County","278300","4,106","1.4754%"
"Nebraska","Wayne County","203700","2,432","1.1939%"
"Nebraska","Webster County","102000","1,468","1.4392%"
"Nebraska","Wheeler County","135900","1,240","0.9124%"
"Nebraska","York County","175900","2,115","1.2024%"
"Nevada","Churchill County","298000","1,670","0.5604%"
"Nevada","Clark County","400800","1,990","0.4965%"
"Nevada","Douglas County","587400","2,649","0.4510%"
"Nevada","Elko County","282400","1,434","0.5078%"
"Nevada","Esmeralda County","102500","604","0.5893%"
"Nevada","Eureka County","","541",""
"Nevada","Humboldt County","256800","1,309","0.5097%"
"Nevada","Lander County","210500","1,336","0.6347%"
"Nevada","Lincoln County","208900","1,135","0.5433%"
"Nevada","Lyon County","342600","1,585","0.4626%"
"Nevada","Mineral County","175000","1,231","0.7034%"
"Nevada","Nye County","266000","1,256","0.4722%"
"Nevada","Pershing County","166200","1,159","0.6974%"
"Nevada","Storey County","393100","1,578","0.4014%"
"Nevada","Washoe County","496600","2,297","0.4625%"
"Nevada","White Pine County","196700","968","0.4921%"
"Nevada","Carson City","426700","1,781","0.4174%"
"New Hampshire","Belknap County","340000","4,897","1.4403%"
"New Hampshire","Carroll County","348900","3,685","1.0562%"
"New Hampshire","Cheshire County","257200","5,968","2.3204%"
"New Hampshire","Coos County","169600","3,511","2.0702%"
"New Hampshire","Grafton County","298500","5,624","1.8841%"
"New Hampshire","Hillsborough County","385500","6,791","1.7616%"
"New Hampshire","Merrimack County","330600","6,617","2.0015%"
"New Hampshire","Rockingham County","461400","7,512","1.6281%"
"New Hampshire","Strafford County","332400","6,582","1.9801%"
"New Hampshire","Sullivan County","236300","5,616","2.3766%"
"New Jersey","Atlantic County","272700","6,749","2.4749%"
"New Jersey","Bergen County","593200","10,001","1.6859%"
"New Jersey","Burlington County","326700","7,902","2.4187%"
"New Jersey","Camden County","262200","8,063","3.0751%"
"New Jersey","Cape May County","395000","5,233","1.3248%"
"New Jersey","Cumberland County","205600","5,048","2.4553%"
"New Jersey","Essex County","494400","10,001","2.0229%"
"New Jersey","Gloucester County","283500","7,964","2.8092%"
"New Jersey","Hudson County","508600","9,413","1.8508%"
"New Jersey","Hunterdon County","498800","10,001","2.0050%"
"New Jersey","Mercer County","351000","8,804","2.5083%"
"New Jersey","Middlesex County","439300","9,684","2.2044%"
"New Jersey","Monmouth County","566500","10,001","1.7654%"
"New Jersey","Morris County","557000","10,001","1.7955%"
"New Jersey","Ocean County","366600","6,499","1.7728%"
"New Jersey","Passaic County","439400","10,001","2.2761%"
"New Jersey","Salem County","223000","6,757","3.0300%"
"New Jersey","Somerset County","523900","10,001","1.9090%"
"New Jersey","Sussex County","342800","8,462","2.4685%"
"New Jersey","Union County","488800","10,001","2.0460%"
"New Jersey","Warren County","323100","8,156","2.5243%"
"New Mexico","Bernalillo County","268500","2,544","0.9475%"
"New Mexico","Catron County","171800","583","0.3393%"
"New Mexico","Chaves County","141900","915","0.6448%"
"New Mexico","Cibola County","120000","983","0.8192%"
"New Mexico","Colfax County","161000","927","0.5758%"
"New Mexico","Curry County","160800","893","0.5553%"
"New Mexico","De Baca County","158000","788","0.4987%"
"New Mexico","Doña Ana County","205400","1,404","0.6835%"
"New Mexico","Eddy County","199400","995","0.4990%"
"New Mexico","Grant County","164400","756","0.4599%"
"New Mexico","Guadalupe County","107200","563","0.5252%"
"New Mexico","Harding County","86500","328","0.3792%"
"New Mexico","Hidalgo County","114000","526","0.4614%"
"New Mexico","Lea County","176000","824","0.4682%"
"New Mexico","Lincoln County","212200","1,143","0.5386%"
"New Mexico","Los Alamos County","452500","2,591","0.5726%"
"New Mexico","Luna County","112500","648","0.5760%"
"New Mexico","McKinley County","72100","1,362","1.8890%"
"New Mexico","Mora County","119900","642","0.5354%"
"New Mexico","Otero County","149500","841","0.5625%"
"New Mexico","Quay County","82200","507","0.6168%"
"New Mexico","Rio Arriba County","230900","1,000","0.4331%"
"New Mexico","Roosevelt County","136000","593","0.4360%"
"New Mexico","Sandoval County","282300","2,147","0.7605%"
"New Mexico","San Juan County","185100","1,249","0.6748%"
"New Mexico","San Miguel County","177600","991","0.5580%"
"New Mexico","Santa Fe County","416900","2,110","0.5061%"
"New Mexico","Sierra County","144800","793","0.5477%"
"New Mexico","Socorro County","143200","792","0.5531%"
"New Mexico","Taos County","354000","1,164","0.3288%"
"New Mexico","Torrance County","145100","677","0.4666%"
"New Mexico","Union County","135900","776","0.5710%"
"New Mexico","Valencia County","206800","1,365","0.6601%"
"New York","Albany County","277400","5,253","1.8937%"
"New York","Allegany County","97900","2,881","2.9428%"
"New York","Bronx County","517000","5,310","1.0271%"
"New York","Broome County","145100","3,824","2.6354%"
"New York","Cattaraugus County","109400","2,946","2.6929%"
"New York","Cayuga County","164200","3,747","2.2820%"
"New York","Chautauqua County","119300","2,846","2.3856%"
"New York","Chemung County","132100","3,332","2.5223%"
"New York","Chenango County","128100","3,061","2.3895%"
"New York","Clinton County","175100","3,461","1.9766%"
"New York","Columbia County","309800","4,795","1.5478%"
"New York","Cortland County","158100","4,184","2.6464%"
"New York","Delaware County","176200","3,059","1.7361%"
"New York","Dutchess County","368100","7,226","1.9631%"
"New York","Erie County","217400","4,525","2.0814%"
"New York","Essex County","200000","3,111","1.5555%"
"New York","Franklin County","128600","2,418","1.8802%"
"New York","Fulton County","156100","3,325","2.1300%"
"New York","Genesee County","157800","3,958","2.5082%"
"New York","Greene County","248300","4,116","1.6577%"
"New York","Hamilton County","242000","2,369","0.9789%"
"New York","Herkimer County","135000","3,067","2.2719%"
"New York","Jefferson County","181000","2,851","1.5751%"
"New York","Kings County","889700","6,120","0.6879%"
"New York","Lewis County","158000","2,682","1.6975%"
"New York","Livingston County","169600","4,182","2.4658%"
"New York","Madison County","176800","4,058","2.2952%"
"New York","Monroe County","197100","5,495","2.7879%"
"New York","Montgomery County","141600","3,630","2.5636%"
"New York","Nassau County","658700","10,001","1.5183%"
"New York","New York County","1108900","10,001","0.9019%"
"New York","Niagara County","177400","4,052","2.2841%"
"New York","Oneida County","171100","3,646","2.1309%"
"New York","Onondaga County","185300","4,805","2.5931%"
"New York","Ontario County","202900","4,460","2.1981%"
"New York","Orange County","361100","8,463","2.3437%"
"New York","Orleans County","126200","3,781","2.9960%"
"New York","Oswego County","139600","3,595","2.5752%"
"New York","Otsego County","175900","2,911","1.6549%"
"New York","Putnam County","448000","10,001","2.2324%"
"New York","Queens County","699200","6,130","0.8767%"
"New York","Rensselaer County","244300","5,357","2.1928%"
"New York","Richmond County","658500","6,074","0.9224%"
"New York","Rockland County","564200","10,001","1.7726%"
"New York","St. Lawrence County","119800","2,735","2.2830%"
"New York","Saratoga County","324800","4,843","1.4911%"
"New York","Schenectady County","223100","5,486","2.4590%"
"New York","Schoharie County","182000","3,977","2.1852%"
"New York","Schuyler County","163300","3,165","1.9382%"
"New York","Seneca County","142700","3,267","2.2894%"
"New York","Steuben County","128600","3,245","2.5233%"
"New York","Suffolk County","539500","10,001","1.8538%"
"New York","Sullivan County","234800","5,082","2.1644%"
"New York","Tioga County","153200","3,750","2.4478%"
"New York","Tompkins County","271500","6,374","2.3477%"
"New York","Ulster County","315100","6,124","1.9435%"
"New York","Warren County","247600","3,789","1.5303%"
"New York","Washington County","185000","3,852","2.0822%"
"New York","Wayne County","163400","4,168","2.5508%"
"New York","Westchester County","638400","10,001","1.5666%"
"New York","Wyoming County","154700","3,557","2.2993%"
"New York","Yates County","178000","3,417","1.9197%"
"North Carolina","Alamance County","221200","1,440","0.6510%"
"North Carolina","Alexander County","190000","1,199","0.6311%"
"North Carolina","Alleghany County","199000","1,202","0.6040%"
"North Carolina","Anson County","119300","1,113","0.9329%"
"North Carolina","Ashe County","221900","1,136","0.5119%"
"North Carolina","Avery County","233200","966","0.4142%"
"North Carolina","Beaufort County","181200","1,277","0.7047%"
"North Carolina","Bertie County","95800","764","0.7975%"
"North Carolina","Bladen County","125800","1,137","0.9038%"
"North Carolina","Brunswick County","314700","1,789","0.5685%"
"North Carolina","Buncombe County","360000","2,163","0.6008%"
"North Carolina","Burke County","170500","1,191","0.6985%"
"North Carolina","Cabarrus County","318600","2,429","0.7624%"
"North Carolina","Caldwell County","174000","1,112","0.6391%"
"North Carolina","Camden County","289800","1,784","0.6156%"
"North Carolina","Carteret County","304200","1,369","0.4500%"
"North Carolina","Caswell County","151200","1,023","0.6766%"
"North Carolina","Catawba County","218100","1,319","0.6048%"
"North Carolina","Chatham County","397800","2,671","0.6714%"
"North Carolina","Cherokee County","208700","1,045","0.5007%"
"North Carolina","Chowan County","204400","1,403","0.6864%"
"North Carolina","Clay County","263300","1,188","0.4512%"
"North Carolina","Cleveland County","180200","1,240","0.6881%"
"North Carolina","Columbus County","128300","1,120","0.8730%"
"North Carolina","Craven County","206200","1,372","0.6654%"
"North Carolina","Cumberland County","183700","1,823","0.9924%"
"North Carolina","Currituck County","351200","1,600","0.4556%"
"North Carolina","Dare County","425400","2,245","0.5277%"
"North Carolina","Davidson County","200100","1,262","0.6307%"
"North Carolina","Davie County","235300","1,570","0.6672%"
"North Carolina","Duplin County","123200","912","0.7403%"
"North Carolina","Durham County","351700","2,951","0.8391%"
"North Carolina","Edgecombe County","116800","1,282","1.0976%"
"North Carolina","Forsyth County","227800","1,934","0.8490%"
"North Carolina","Franklin County","240900","1,732","0.7190%"
"North Carolina","Gaston County","235000","1,872","0.7966%"
"North Carolina","Gates County","163900","1,273","0.7767%"
"North Carolina","Graham County","155800","842","0.5404%"
"North Carolina","Granville County","235700","1,694","0.7187%"
"North Carolina","Greene County","114000","990","0.8684%"
"North Carolina","Guilford County","234900","2,075","0.8834%"
"North Carolina","Halifax County","102500","1,163","1.1346%"
"North Carolina","Harnett County","220700","1,642","0.7440%"
"North Carolina","Haywood County","254900","1,532","0.6010%"
"North Carolina","Henderson County","317800","1,667","0.5245%"
"North Carolina","Hertford County","111100","1,083","0.9748%"
"North Carolina","Hoke County","196000","1,357","0.6923%"
"North Carolina","Hyde County","119600","753","0.6296%"
"North Carolina","Iredell County","292300","1,843","0.6305%"
"North Carolina","Jackson County","253900","938","0.3694%"
"North Carolina","Johnston County","267600","1,840","0.6876%"
"North Carolina","Jones County","122600","926","0.7553%"
"North Carolina","Lee County","213800","1,707","0.7984%"
"North Carolina","Lenoir County","111400","985","0.8842%"
"North Carolina","Lincoln County","279500","1,660","0.5939%"
"North Carolina","McDowell County","168300","871","0.5175%"
"North Carolina","Macon County","229000","979","0.4275%"
"North Carolina","Madison County","263500","1,307","0.4960%"
"North Carolina","Martin County","109900","1,176","1.0701%"
"North Carolina","Mecklenburg County","371200","2,780","0.7489%"
"North Carolina","Mitchell County","202100","1,014","0.5017%"
"North Carolina","Montgomery County","150300","1,057","0.7033%"
"North Carolina","Moore County","315300","1,784","0.5658%"
"North Carolina","Nash County","171100","1,320","0.7715%"
"North Carolina","New Hanover County","353700","2,075","0.5867%"
"North Carolina","Northampton County","102200","1,232","1.2055%"
"North Carolina","Onslow County","219500","1,431","0.6519%"
"North Carolina","Orange County","428500","4,105","0.9580%"
"North Carolina","Pamlico County","209800","1,257","0.5991%"
"North Carolina","Pasquotank County","223300","1,547","0.6928%"
"North Carolina","Pender County","267100","1,858","0.6956%"
"North Carolina","Perquimans County","211600","1,316","0.6219%"
"North Carolina","Person County","192800","1,288","0.6680%"
"North Carolina","Pitt County","194300","1,649","0.8487%"
"North Carolina","Polk County","281100","1,627","0.5788%"
"North Carolina","Randolph County","171600","1,236","0.7203%"
"North Carolina","Richmond County","120800","1,122","0.9288%"
"North Carolina","Robeson County","88600","799","0.9018%"
"North Carolina","Rockingham County","156000","1,230","0.7885%"
"North Carolina","Rowan County","216100","1,411","0.6529%"
"North Carolina","Rutherford County","180800","1,053","0.5824%"
"North Carolina","Sampson County","128400","1,051","0.8185%"
"North Carolina","Scotland County","109900","999","0.9090%"
"North Carolina","Stanly County","214300","1,334","0.6225%"
"North Carolina","Stokes County","186800","1,158","0.6199%"
"North Carolina","Surry County","166400","1,033","0.6208%"
"North Carolina","Swain County","209800","844","0.4023%"
"North Carolina","Transylvania County","336100","1,539","0.4579%"
"North Carolina","Tyrrell County","138400","1,233","0.8909%"
"North Carolina","Union County","374400","2,298","0.6138%"
"North Carolina","Vance County","146300","1,179","0.8059%"
"North Carolina","Wake County","422800","3,023","0.7150%"
"North Carolina","Warren County","124700","1,059","0.8492%"
"North Carolina","Washington County","107000","1,202","1.1234%"
"North Carolina","Watauga County","321500","1,334","0.4149%"
"North Carolina","Wayne County","162700","1,210","0.7437%"
"North Carolina","Wilkes County","161400","1,003","0.6214%"
"North Carolina","Wilson County","171800","1,428","0.8312%"
"North Carolina","Yadkin County","176400","1,210","0.6859%"
"North Carolina","Yancey County","222300","1,058","0.4759%"
"North Dakota","Adams County","108300","1,106","1.0212%"
"North Dakota","Barnes County","168100","1,842","1.0958%"
"North Dakota","Benson County","83100","724","0.8712%"
"North Dakota","Billings County","322500","1,189","0.3687%"
"North Dakota","Bottineau County","190900","1,335","0.6993%"
"North Dakota","Bowman County","176400","1,330","0.7540%"
"North Dakota","Burke County","141900","968","0.6822%"
"North Dakota","Burleigh County","314700","2,764","0.8783%"
"North Dakota","Cass County","284700","3,449","1.2115%"
"North Dakota","Cavalier County","122300","1,524","1.2461%"
"North Dakota","Dickey County","167100","1,538","0.9204%"
"North Dakota","Divide County","173100","1,034","0.5973%"
"North Dakota","Dunn County","244000","1,473","0.6037%"
"North Dakota","Eddy County","115500","1,027","0.8892%"
"North Dakota","Emmons County","112400","1,011","0.8995%"
"North Dakota","Foster County","162800","2,092","1.2850%"
"North Dakota","Golden Valley County","119200","1,109","0.9304%"
"North Dakota","Grand Forks County","244200","2,754","1.1278%"
"North Dakota","Grant County","85800","841","0.9802%"
"North Dakota","Griggs County","128200","1,162","0.9064%"
"North Dakota","Hettinger County","110900","1,251","1.1280%"
"North Dakota","Kidder County","138500","910","0.6570%"
"North Dakota","LaMoure County","118000","1,142","0.9678%"
"North Dakota","Logan County","101800","949","0.9322%"
"North Dakota","McHenry County","143200","949","0.6627%"
"North Dakota","McIntosh County","80300","867","1.0797%"
"North Dakota","McKenzie County","357300","1,473","0.4123%"
"North Dakota","McLean County","233100","1,748","0.7499%"
"North Dakota","Mercer County","196200","2,101","1.0708%"
"North Dakota","Morton County","249600","2,562","1.0264%"
"North Dakota","Mountrail County","222200","1,172","0.5275%"
"North Dakota","Nelson County","114500","919","0.8026%"
"North Dakota","Oliver County","217000","1,363","0.6281%"
"North Dakota","Pembina County","116600","1,165","0.9991%"
"North Dakota","Pierce County","143400","1,477","1.0300%"
"North Dakota","Ramsey County","197400","1,847","0.9357%"
"North Dakota","Ransom County","174800","1,838","1.0515%"
"North Dakota","Renville County","163400","1,107","0.6775%"
"North Dakota","Richland County","177600","2,015","1.1346%"
"North Dakota","Rolette County","93000","907","0.9753%"
"North Dakota","Sargent County","149600","1,708","1.1417%"
"North Dakota","Sheridan County","107700","753","0.6992%"
"North Dakota","Sioux County","87400","410","0.4691%"
"North Dakota","Slope County","121300","460","0.3792%"
"North Dakota","Stark County","260400","2,398","0.9209%"
"North Dakota","Steele County","120400","1,146","0.9518%"
"North Dakota","Stutsman County","200300","2,193","1.0949%"
"North Dakota","Towner County","122800","1,078","0.8779%"
"North Dakota","Traill County","193200","2,018","1.0445%"
"North Dakota","Walsh County","125700","1,389","1.1050%"
"North Dakota","Ward County","259100","2,785","1.0749%"
"North Dakota","Wells County","106400","1,107","1.0404%"
"North Dakota","Williams County","267800","1,913","0.7143%"
"Ohio","Adams County","157500","1,303","0.8273%"
"Ohio","Allen County","158400","1,782","1.1250%"
"Ohio","Ashland County","175900","1,787","1.0159%"
"Ohio","Ashtabula County","149600","1,890","1.2634%"
"Ohio","Athens County","173800","2,094","1.2048%"
"Ohio","Auglaize County","182000","1,756","0.9648%"
"Ohio","Belmont County","143000","1,420","0.9930%"
"Ohio","Brown County","181100","1,497","0.8266%"
"Ohio","Butler County","243000","3,010","1.2387%"
"Ohio","Carroll County","174500","1,688","0.9673%"
"Ohio","Champaign County","186300","1,938","1.0403%"
"Ohio","Clark County","155900","1,943","1.2463%"
"Ohio","Clermont County","245600","3,141","1.2789%"
"Ohio","Clinton County","192800","1,816","0.9419%"
"Ohio","Columbiana County","139100","1,488","1.0697%"
"Ohio","Coshocton County","142300","1,378","0.9684%"
"Ohio","Crawford County","123600","1,509","1.2209%"
"Ohio","Cuyahoga County","183200","3,819","2.0846%"
"Ohio","Darke County","169100","1,572","0.9296%"
"Ohio","Defiance County","150900","1,686","1.1173%"
"Ohio","Delaware County","419500","6,896","1.6439%"
"Ohio","Erie County","183900","2,330","1.2670%"
"Ohio","Fairfield County","272200","3,123","1.1473%"
"Ohio","Fayette County","162200","1,561","0.9624%"
"Ohio","Franklin County","265700","4,110","1.5469%"
"Ohio","Fulton County","176000","2,348","1.3341%"
"Ohio","Gallia County","135000","1,351","1.0007%"
"Ohio","Geauga County","305100","4,533","1.4857%"
"Ohio","Greene County","238000","4,021","1.6895%"
"Ohio","Guernsey County","154100","1,561","1.0130%"
"Ohio","Hamilton County","225700","3,461","1.5335%"
"Ohio","Hancock County","196500","1,966","1.0005%"
"Ohio","Hardin County","134800","1,513","1.1224%"
"Ohio","Harrison County","118000","1,226","1.0390%"
"Ohio","Henry County","166000","1,954","1.1771%"
"Ohio","Highland County","157000","1,475","0.9395%"
"Ohio","Hocking County","172300","1,748","1.0145%"
"Ohio","Holmes County","251800","2,802","1.1128%"
"Ohio","Huron County","158900","1,664","1.0472%"
"Ohio","Jackson County","140400","1,339","0.9537%"
"Ohio","Jefferson County","120600","1,220","1.0116%"
"Ohio","Knox County","218300","2,345","1.0742%"
"Ohio","Lake County","199900","3,405","1.7034%"
"Ohio","Lawrence County","135600","1,193","0.8798%"
"Ohio","Licking County","250700","3,150","1.2565%"
"Ohio","Logan County","186200","1,947","1.0456%"
"Ohio","Lorain County","207200","2,992","1.4440%"
"Ohio","Lucas County","155200","2,710","1.7461%"
"Ohio","Madison County","231400","2,437","1.0532%"
"Ohio","Mahoning County","141100","1,975","1.3997%"
"Ohio","Marion County","146200","1,432","0.9795%"
"Ohio","Medina County","268000","3,448","1.2866%"
"Ohio","Meigs County","113400","1,117","0.9850%"
"Ohio","Mercer County","208600","2,249","1.0781%"
"Ohio","Miami County","209200","2,106","1.0067%"
"Ohio","Monroe County","132000","1,148","0.8697%"
"Ohio","Montgomery County","167400","2,975","1.7772%"
"Ohio","Morgan County","134200","1,216","0.9061%"
"Ohio","Morrow County","200800","2,208","1.0996%"
"Ohio","Muskingum County","170100","1,609","0.9459%"
"Ohio","Noble County","149300","1,178","0.7890%"
"Ohio","Ottawa County","200700","2,181","1.0867%"
"Ohio","Paulding County","126800","1,382","1.0899%"
"Ohio","Perry County","178300","1,656","0.9288%"
"Ohio","Pickaway County","235700","2,438","1.0344%"
"Ohio","Pike County","148500","1,269","0.8545%"
"Ohio","Portage County","210500","2,728","1.2960%"
"Ohio","Preble County","171100","1,841","1.0760%"
"Ohio","Putnam County","191600","1,870","0.9760%"
"Ohio","Richland County","154000","1,984","1.2883%"
"Ohio","Ross County","158500","1,577","0.9950%"
"Ohio","Sandusky County","152500","1,621","1.0630%"
"Ohio","Scioto County","132300","1,417","1.0711%"
"Ohio","Seneca County","136200","1,489","1.0932%"
"Ohio","Shelby County","190300","1,919","1.0084%"
"Ohio","Stark County","177700","2,342","1.3180%"
"Ohio","Summit County","195700","3,018","1.5422%"
"Ohio","Trumbull County","128100","1,806","1.4098%"
"Ohio","Tuscarawas County","176800","1,910","1.0803%"
"Ohio","Union County","306600","3,847","1.2547%"
"Ohio","Van Wert County","137300","1,327","0.9665%"
"Ohio","Vinton County","131700","1,432","1.0873%"
"Ohio","Warren County","319700","4,076","1.2749%"
"Ohio","Washington County","174100","1,665","0.9563%"
"Ohio","Wayne County","204600","2,457","1.2009%"
"Ohio","Williams County","140000","1,624","1.1600%"
"Ohio","Wood County","214400","2,911","1.3577%"
"Ohio","Wyandot County","159500","1,417","0.8884%"
"Oklahoma","Adair County","111500","530","0.4753%"
"Oklahoma","Alfalfa County","103000","649","0.6301%"
"Oklahoma","Atoka County","138000","767","0.5558%"
"Oklahoma","Beaver County","117900","897","0.7608%"
"Oklahoma","Beckham County","153400","1,215","0.7920%"
"Oklahoma","Blaine County","126200","702","0.5563%"
"Oklahoma","Bryan County","163700","1,040","0.6353%"
"Oklahoma","Caddo County","109900","627","0.5705%"
"Oklahoma","Canadian County","230300","2,259","0.9809%"
"Oklahoma","Carter County","153500","1,185","0.7720%"
"Oklahoma","Cherokee County","160300","905","0.5646%"
