"State","County","Median Housing Value, 2023 ($)","Median Property Taxes Paid, 2023 ($)(5-Year Estimate)","Effective Property Tax Rate (2023)"
"Alaska","Aleutians West Census Area","419100","2,969","0.7084%"
"Alaska","Anchorage Municipality","375900","4,865","1.2942%"
"Alaska","Bethel Census Area","120600","",""
"Alaska","Bristol Bay Borough","269800","1,933","0.7165%"
"Alaska","Chugach Census Area","330900","3,033","0.9166%"
"Alaska","Copper River Census Area","246700","199","0.0807%"
"Alaska","Denali Borough","262000","",""
"Alaska","Dillingham Census Area","163800","2,875","1.7552%"
"Alaska","Fairbanks North Star Borough","282500","3,570","1.2637%"
"Alaska","Haines Borough","318900","2,558","0.8021%"
"Alaska","Hoonah-Angoon Census Area","278300","1,159","0.4165%"
"Alaska","Juneau City and Borough","432500","4,039","0.9339%"
"Alaska","Kenai Peninsula Borough","297500","1,974","0.6635%"
"Alaska","Ketchikan Gateway Borough","379000","2,588","0.6828%"
"Alaska","Kodiak Island Borough","382700","3,509","0.9169%"
"Alaska","Kusilvak Census Area","72700","199","0.2737%"
"Alaska","Lake and Peninsula Borough","166100","",""
"Alaska","Matanuska-Susitna Borough","319200","3,512","1.1003%"
"Alaska","Nome Census Area","201000","3,110","1.5473%"
"Alaska","North Slope Borough","219600","2,082","0.9481%"
"Alaska","Northwest Arctic Borough","162500","199","0.1225%"
"Alaska","Petersburg Borough","301300","2,066","0.6857%"
"Alaska","Prince of Wales-Hyder Census Area","221800","1,043","0.4702%"
"Alaska","Sitka City and Borough","442100","2,086","0.4718%"
"Alaska","Skagway Municipality","430000","1,472","0.3423%"
"Alaska","Southeast Fairbanks Census Area","262800","1,871","0.7119%"
"Alaska","Wrangell City and Borough","289700","1,795","0.6196%"
"Alaska","Yakutat City and Borough","185000","1,410","0.7622%"
"Alaska","Yukon-Koyukuk Census Area","87800","757","0.8622%"
"Arizona","Apache County","68500","574","0.8380%"
"Arizona","Cochise County","207400","1,325","0.6389%"
"Arizona","Coconino County","413200","2,008","0.4860%"
"Arizona","Gila County","247000","1,331","0.5389%"
"Arizona","Graham County","202700","1,094","0.5397%"
"Arizona","Greenlee County","136300","489","0.3588%"
"Arizona","La Paz County","117600","831","0.7066%"
"Arizona","Maricopa County","414700","1,965","0.4738%"
"Arizona","Mohave County","253200","1,229","0.4854%"
"Arizona","Navajo County","186100","1,126","0.6051%"
"Arizona","Pima County","286900","2,248","0.7835%"
"Arizona","Pinal County","312100","1,615","0.5175%"
"Arizona","Santa Cruz County","216100","1,387","0.6418%"
"Arizona","Yavapai County","392900","1,734","0.4413%"
"Arizona","Yuma County","195700","1,281","0.6546%"
"Arkansas","Arkansas County","129400","722","0.5580%"
"Arkansas","Ashley County","88800","542","0.6104%"
"Arkansas","Baxter County","165400","765","0.4625%"
"Arkansas","Benton County","285100","1,731","0.6072%"
"Arkansas","Boone County","169300","904","0.5340%"
"Arkansas","Bradley County","97000","544","0.5608%"
"Arkansas","Calhoun County","97300","485","0.4985%"
"Arkansas","Carroll County","186300","980","0.5260%"
"Arkansas","Chicot County","90500","494","0.5459%"
"Arkansas","Clark County","147100","839","0.5704%"
"Arkansas","Clay County","88100","459","0.5210%"
"Arkansas","Cleburne County","174600","814","0.4662%"
"Arkansas","Cleveland County","123400","716","0.5802%"
"Arkansas","Columbia County","141700","683","0.4820%"
"Arkansas","Conway County","137000","718","0.5241%"
"Arkansas","Craighead County","198700","1,084","0.5455%"
"Arkansas","Crawford County","170000","904","0.5318%"
"Arkansas","Crittenden County","155100","934","0.6022%"
"Arkansas","Cross County","104000","574","0.5519%"
"Arkansas","Dallas County","98200","459","0.4674%"
"Arkansas","Desha County","89100","517","0.5802%"
"Arkansas","Drew County","127800","572","0.4476%"
"Arkansas","Faulkner County","211300","1,201","0.5684%"
"Arkansas","Franklin County","118800","598","0.5034%"
"Arkansas","Fulton County","107200","494","0.4608%"
"Arkansas","Garland County","176400","915","0.5187%"
"Arkansas","Grant County","154500","840","0.5437%"
"Arkansas","Greene County","162200","792","0.4883%"
"Arkansas","Hempstead County","100200","503","0.5020%"
"Arkansas","Hot Spring County","127900","650","0.5082%"
"Arkansas","Howard County","135400","708","0.5229%"
"Arkansas","Independence County","120500","657","0.5452%"
"Arkansas","Izard County","122100","714","0.5848%"
"Arkansas","Jackson County","87300","492","0.5636%"
"Arkansas","Jefferson County","106000","667","0.6292%"
"Arkansas","Johnson County","124800","706","0.5657%"
"Arkansas","Lafayette County","74600","422","0.5657%"
"Arkansas","Lawrence County","91100","445","0.4885%"
"Arkansas","Lee County","77900","409","0.5250%"
"Arkansas","Lincoln County","106100","572","0.5391%"
"Arkansas","Little River County","113400","549","0.4841%"
"Arkansas","Logan County","126900","670","0.5280%"
"Arkansas","Lonoke County","184100","1,178","0.6399%"
"Arkansas","Madison County","157800","702","0.4449%"
"Arkansas","Marion County","158400","813","0.5133%"
"Arkansas","Miller County","148200","916","0.6181%"
"Arkansas","Mississippi County","115800","646","0.5579%"
"Arkansas","Monroe County","82200","405","0.4927%"
"Arkansas","Montgomery County","136000","522","0.3838%"
"Arkansas","Nevada County","85700","462","0.5391%"
"Arkansas","Newton County","178800","729","0.4077%"
"Arkansas","Ouachita County","99600","500","0.5020%"
"Arkansas","Perry County","129300","672","0.5197%"
"Arkansas","Phillips County","76200","500","0.6562%"
"Arkansas","Pike County","115400","645","0.5589%"
"Arkansas","Poinsett County","101200","519","0.5128%"
"Arkansas","Polk County","122600","541","0.4413%"
"Arkansas","Pope County","161700","918","0.5677%"
"Arkansas","Prairie County","87500","539","0.6160%"
"Arkansas","Pulaski County","199600","1,562","0.7826%"
"Arkansas","Randolph County","118100","519","0.4395%"
"Arkansas","St. Francis County","87700","474","0.5405%"
"Arkansas","Saline County","211700","1,335","0.6306%"
"Arkansas","Scott County","110900","456","0.4112%"
"Arkansas","Searcy County","108100","517","0.4783%"
"Arkansas","Sebastian County","166000","1,081","0.6512%"
"Arkansas","Sevier County","111700","536","0.4799%"
"Arkansas","Sharp County","94600","548","0.5793%"
"Arkansas","Stone County","149400","528","0.3534%"
"Arkansas","Union County","114700","661","0.5763%"
"Arkansas","Van Buren County","122300","562","0.4595%"
"Arkansas","Washington County","266000","1,465","0.5508%"
"Arkansas","White County","159600","761","0.4768%"
"Arkansas","Woodruff County","96800","558","0.5764%"
"Arkansas","Yell County","131300","679","0.5171%"
"California","Alameda County","1057400","8,061","0.7623%"
"California","Alpine County","466100","3,190","0.6844%"
"California","Amador County","422800","2,939","0.6951%"
"California","Butte County","408700","2,819","0.6897%"
"California","Calaveras County","441800","3,154","0.7139%"
"California","Colusa County","375100","2,481","0.6614%"
"California","Contra Costa County","830800","6,903","0.8309%"
"California","Del Norte County","319600","1,872","0.5857%"
"California","El Dorado County","640500","4,510","0.7041%"
"California","Fresno County","362600","2,704","0.7457%"
"California","Glenn County","338400","2,190","0.6472%"
"California","Humboldt County","418800","2,731","0.6521%"
"California","Imperial County","279500","2,348","0.8401%"
"California","Inyo County","338400","2,392","0.7069%"
"California","Kern County","310600","2,833","0.9121%"
"California","Kings County","305700","2,295","0.7507%"
"California","Lake County","316800","2,295","0.7244%"
"California","Lassen County","259500","1,868","0.7198%"
"California","Los Angeles County","783300","5,438","0.6942%"
"California","Madera County","367700","2,575","0.7003%"
"California","Marin County","1390000","10,001","0.7195%"
"California","Mariposa County","358000","2,437","0.6807%"
"California","Mendocino County","486000","3,376","0.6947%"
"California","Merced County","368400","2,487","0.6751%"
"California","Modoc County","212000","1,445","0.6816%"
"California","Mono County","514300","3,936","0.7653%"
"California","Monterey County","723100","4,782","0.6613%"
"California","Napa County","838800","5,840","0.6962%"
"California","Nevada County","602800","4,468","0.7412%"
"California","Orange County","915500","6,096","0.6659%"
"California","Placer County","658800","5,600","0.8500%"
"California","Plumas County","327400","2,360","0.7208%"
"California","Riverside County","510300","4,189","0.8209%"
"California","Sacramento County","498900","3,768","0.7553%"
"California","San Benito County","751500","6,078","0.8088%"
"California","San Bernardino County","475000","3,346","0.7044%"
"California","San Diego County","791600","5,542","0.7001%"
"California","San Francisco County","1380500","9,412","0.6818%"
"California","San Joaquin County","494500","3,782","0.7648%"
"California","San Luis Obispo County","777200","5,475","0.7045%"
"California","San Mateo County","1494500","9,167","0.6134%"
"California","Santa Barbara County","735700","4,870","0.6620%"
"California","Santa Clara County","1382800","9,766","0.7062%"
"California","Santa Cruz County","1015200","6,305","0.6211%"
"California","Shasta County","347200","2,442","0.7033%"
"California","Sierra County","334100","2,590","0.7752%"
"California","Siskiyou County","284500","1,880","0.6608%"
"California","Solano County","589600","4,408","0.7476%"
"California","Sonoma County","779000","5,580","0.7163%"
"California","Stanislaus County","426600","3,025","0.7091%"
"California","Sutter County","399400","3,111","0.7789%"
"California","Tehama County","315600","1,996","0.6324%"
"California","Trinity County","329000","1,772","0.5386%"
"California","Tulare County","303000","2,213","0.7304%"
"California","Tuolumne County","406200","2,737","0.6738%"
"California","Ventura County","768400","5,326","0.6931%"
"California","Yolo County","593800","4,567","0.7691%"
"California","Yuba County","380000","2,865","0.7539%"
"Colorado","Adams County","458400","2,770","0.6043%"
"Colorado","Alamosa County","218800","968","0.4424%"
"Colorado","Arapahoe County","526000","2,767","0.5260%"
"Colorado","Archuleta County","451400","1,541","0.3414%"
"Colorado","Baca County","122000","496","0.4066%"
"Colorado","Bent County","137900","532","0.3858%"
"Colorado","Boulder County","713900","3,821","0.5352%"
"Colorado","Broomfield County","631600","3,888","0.6156%"
"Colorado","Chaffee County","598500","1,664","0.2780%"
"Colorado","Cheyenne County","187100","863","0.4613%"
"Colorado","Clear Creek County","572800","2,160","0.3771%"
"Colorado","Conejos County","162100","655","0.4041%"
"Colorado","Costilla County","171300","531","0.3100%"
"Colorado","Crowley County","106700","525","0.4920%"
"Colorado","Custer County","358800","1,300","0.3623%"
"Colorado","Delta County","318000","986","0.3101%"
"Colorado","Denver County","586700","2,596","0.4425%"
"Colorado","Dolores County","231900","558","0.2406%"
"Colorado","Douglas County","674000","3,707","0.5500%"
"Colorado","Eagle County","814700","3,339","0.4098%"
"Colorado","Elbert County","664600","2,981","0.4485%"
"Colorado","El Paso County","431000","1,773","0.4114%"
"Colorado","Fremont County","282100","1,081","0.3832%"
"Colorado","Garfield County","490600","2,095","0.4270%"
"Colorado","Gilpin County","512600","1,177","0.2296%"
"Colorado","Grand County","507200","1,763","0.3476%"
"Colorado","Gunnison County","597200","1,683","0.2818%"
"Colorado","Hinsdale County","438800","1,286","0.2931%"
"Colorado","Huerfano County","256700","707","0.2754%"
"Colorado","Jackson County","250000","513","0.2052%"
"Colorado","Jefferson County","604400","2,867","0.4744%"
"Colorado","Kiowa County","148600","862","0.5801%"
"Colorado","Kit Carson County","221400","1,141","0.5154%"
"Colorado","Lake County","401300","1,544","0.3847%"
"Colorado","La Plata County","549100","1,452","0.2644%"
"Colorado","Larimer County","532200","2,662","0.5002%"
"Colorado","Las Animas County","214500","524","0.2443%"
"Colorado","Lincoln County","232100","886","0.3817%"
"Colorado","Logan County","228100","1,072","0.4700%"
"Colorado","Mesa County","349400","1,357","0.3884%"
"Colorado","Mineral County","413000","1,462","0.3540%"
"Colorado","Moffat County","262500","1,129","0.4301%"
"Colorado","Montezuma County","308100","915","0.2970%"
"Colorado","Montrose County","357900","1,280","0.3576%"
"Colorado","Morgan County","299300","1,574","0.5259%"
"Colorado","Otero County","160700","518","0.3223%"
"Colorado","Ouray County","670100","1,854","0.2767%"
"Colorado","Park County","489300","1,679","0.3431%"
"Colorado","Phillips County","255300","1,263","0.4947%"
"Colorado","Pitkin County","1131200","4,450","0.3934%"
"Colorado","Prowers County","150900","494","0.3274%"
"Colorado","Pueblo County","271800","1,382","0.5085%"
"Colorado","Rio Blanco County","243400","837","0.3439%"
"Colorado","Rio Grande County","215400","893","0.4146%"
"Colorado","Routt County","756200","2,490","0.3293%"
"Colorado","Saguache County","200000","679","0.3395%"
"Colorado","San Juan County","406900","1,195","0.2937%"
"Colorado","San Miguel County","613100","1,599","0.2608%"
"Colorado","Sedgwick County","142700","671","0.4702%"
"Colorado","Summit County","850700","2,641","0.3105%"
"Colorado","Teller County","445000","1,583","0.3557%"
"Colorado","Washington County","218300","890","0.4077%"
"Colorado","Weld County","444500","2,242","0.5044%"
"Colorado","Yuma County","215600","1,025","0.4754%"
"Connecticut","Capitol Planning Region","298200","6,390","2.1429%"
"Connecticut","Greater Bridgeport Planning Region","397000","8,550","2.1537%"
"Connecticut","Lower Connecticut River Valley Planning Region","359000","6,326","1.7621%"
"Connecticut","Naugatuck Valley Planning Region","290800","5,926","2.0378%"
"Connecticut","Northeastern Connecticut Planning Region","281300","4,340","1.5428%"
"Connecticut","Northwest Hills Planning Region","311700","5,609","1.7995%"
"Connecticut","South Central Connecticut Planning Region","328300","6,676","2.0335%"
"Connecticut","Southeastern Connecticut Planning Region","293900","5,146","1.7509%"
"Connecticut","Western Connecticut Planning Region","625400","9,222","1.4746%"
"Delaware","Kent County","290600","1,331","0.4580%"
"Delaware","New Castle County","329800","2,444","0.7411%"
"Delaware","Sussex County","353300","1,171","0.3314%"
"District of Columbia","District of Columbia","724600","4,180","0.5769%"
"Florida","Alachua County","266800","2,623","0.9831%"
"Florida","Baker County","225000","1,410","0.6267%"
"Florida","Bay County","276900","1,653","0.5970%"
"Florida","Bradford County","180300","1,022","0.5668%"
"Florida","Brevard County","304400","2,139","0.7027%"
"Florida","Broward County","380400","3,610","0.9490%"
"Florida","Calhoun County","134000","743","0.5545%"
"Florida","Charlotte County","291000","2,581","0.8869%"
"Florida","Citrus County","223200","1,320","0.5914%"
"Florida","Clay County","281500","2,080","0.7389%"
"Florida","Collier County","486800","3,219","0.6613%"
"Florida","Columbia County","186400","1,385","0.7430%"
"Florida","DeSoto County","151500","1,322","0.8726%"
"Florida","Dixie County","96900","715","0.7379%"
"Florida","Duval County","274900","2,142","0.7792%"
"Florida","Escambia County","234200","1,406","0.6003%"
"Florida","Flagler County","333400","2,628","0.7882%"
"Florida","Franklin County","254300","1,572","0.6182%"
"Florida","Gadsden County","154700","854","0.5520%"
"Florida","Gilchrist County","191000","1,301","0.6812%"
"Florida","Glades County","114800","1,163","1.0131%"
"Florida","Gulf County","235700","1,334","0.5660%"
"Florida","Hamilton County","110400","806","0.7301%"
"Florida","Hardee County","129400","1,358","1.0495%"
"Florida","Hendry County","189700","1,519","0.8007%"
"Florida","Hernando County","240700","1,732","0.7196%"
"Florida","Highlands County","177900","1,295","0.7279%"
"Florida","Hillsborough County","333300","2,787","0.8362%"
"Florida","Holmes County","101400","527","0.5197%"
"Florida","Indian River County","314700","2,288","0.7270%"
"Florida","Jackson County","113900","625","0.5487%"
"Florida","Jefferson County","198800","1,348","0.6781%"
"Florida","Lafayette County","131600","850","0.6459%"
"Florida","Lake County","287900","2,284","0.7933%"
"Florida","Lee County","326300","2,699","0.8272%"
"Florida","Leon County","279800","2,305","0.8238%"
"Florida","Levy County","171400","1,110","0.6476%"
"Florida","Liberty County","117600","1,031","0.8767%"
"Florida","Madison County","105900","928","0.8763%"
"Florida","Manatee County","359800","2,853","0.7929%"
"Florida","Marion County","220800","1,659","0.7514%"
"Florida","Martin County","386500","3,120","0.8072%"
"Florida","Miami-Dade County","425400","3,516","0.8265%"
"Florida","Monroe County","723800","3,943","0.5448%"
"Florida","Nassau County","351100","2,558","0.7286%"
"Florida","Okaloosa County","324800","1,948","0.5998%"
"Florida","Okeechobee County","179000","1,349","0.7536%"
"Florida","Orange County","358300","2,795","0.7801%"
"Florida","Osceola County","317600","2,498","0.7865%"
"Florida","Palm Beach County","407300","3,600","0.8839%"
"Florida","Pasco County","265800","2,028","0.7630%"
"Florida","Pinellas County","319000","2,324","0.7285%"
"Florida","Polk County","240000","1,769","0.7371%"
"Florida","Putnam County","147300","1,196","0.8119%"
"Florida","St. Johns County","457600","3,547","0.7751%"
"Florida","St. Lucie County","305800","2,893","0.9460%"
"Florida","Santa Rosa County","302100","1,809","0.5988%"
"Florida","Sarasota County","373100","2,826","0.7574%"
"Florida","Seminole County","357300","2,493","0.6977%"
"Florida","Sumter County","356000","2,940","0.8258%"
"Florida","Suwannee County","160900","1,169","0.7265%"
"Florida","Taylor County","100200","724","0.7226%"
"Florida","Union County","160400","931","0.5804%"
"Florida","Volusia County","278000","2,179","0.7838%"
"Florida","Wakulla County","216300","1,408","0.6509%"
"Florida","Walton County","376400","1,709","0.4540%"
"Florida","Washington County","156000","787","0.5045%"
"Georgia","Appling County","81400","689","0.8464%"
"Georgia","Atkinson County","76300","674","0.8834%"
"Georgia","Bacon County","104100","1,064","1.0221%"
"Georgia","Baker County","120100","1,042","0.8676%"
"Georgia","Baldwin County","164700","1,222","0.7420%"
"Georgia","Banks County","251700","1,586","0.6301%"
"Georgia","Barrow County","255200","2,124","0.8323%"
"Georgia","Bartow County","262200","1,901","0.7250%"
"Georgia","Ben Hill County","114600","1,216","1.0611%"
"Georgia","Berrien County","115200","1,139","0.9887%"
"Georgia","Bibb County","165800","1,826","1.1013%"
"Georgia","Bleckley County","132900","1,438","1.0820%"
"Georgia","Brantley County","91800","1,028","1.1198%"
"Georgia","Brooks County","118100","1,513","1.2811%"
"Georgia","Bryan County","317100","2,501","0.7887%"
"Georgia","Bulloch County","191600","1,491","0.7782%"
"Georgia","Burke County","107800","978","0.9072%"
"Georgia","Butts County","227800","1,886","0.8279%"
"Georgia","Calhoun County","82200","947","1.1521%"
"Georgia","Camden County","233900","2,197","0.9393%"
"Georgia","Candler County","135600","1,412","1.0413%"
"Georgia","Carroll County","227500","1,420","0.6242%"
"Georgia","Catoosa County","214200","1,475","0.6886%"
"Georgia","Charlton County","119000","1,081","0.9084%"
"Georgia","Chatham County","273300","2,463","0.9012%"
"Georgia","Chattahoochee County","99800","988","0.9900%"
"Georgia","Chattooga County","98700","844","0.8551%"
"Georgia","Cherokee County","389800","2,734","0.7014%"
"Georgia","Clarke County","271900","2,444","0.8989%"
"Georgia","Clay County","92500","966","1.0443%"
"Georgia","Clayton County","194500","1,737","0.8931%"
"Georgia","Clinch County","86300","1,205","1.3963%"
"Georgia","Cobb County","373700","2,560","0.6850%"
"Georgia","Coffee County","125700","1,014","0.8067%"
"Georgia","Colquitt County","121400","1,051","0.8657%"
"Georgia","Columbia County","287400","2,431","0.8459%"
"Georgia","Cook County","123000","1,009","0.8203%"
"Georgia","Coweta County","321900","2,482","0.7710%"
"Georgia","Crawford County","144800","1,219","0.8419%"
"Georgia","Crisp County","120800","1,396","1.1556%"
"Georgia","Dade County","166600","1,039","0.6236%"
"Georgia","Dawson County","351900","2,224","0.6320%"
"Georgia","Decatur County","146200","1,353","0.9254%"
"Georgia","DeKalb County","331400","3,046","0.9191%"
"Georgia","Dodge County","108700","1,037","0.9540%"
"Georgia","Dooly County","96400","1,198","1.2427%"
"Georgia","Dougherty County","129200","1,800","1.3932%"
"Georgia","Douglas County","262200","2,079","0.7929%"
"Georgia","Early County","130100","1,069","0.8217%"
"Georgia","Echols County","112600","1,110","0.9858%"
"Georgia","Effingham County","245300","2,344","0.9556%"
"Georgia","Elbert County","114600","1,126","0.9825%"
"Georgia","Emanuel County","88200","860","0.9751%"
"Georgia","Evans County","139700","1,442","1.0322%"
"Georgia","Fannin County","274600","959","0.3492%"
"Georgia","Fayette County","405600","3,168","0.7811%"
"Georgia","Floyd County","194100","1,560","0.8037%"
"Georgia","Forsyth County","493800","3,747","0.7588%"
"Georgia","Franklin County","160600","1,231","0.7665%"
"Georgia","Fulton County","431200","3,847","0.8922%"
"Georgia","Gilmer County","278900","1,070","0.3837%"
"Georgia","Glascock County","122800","1,214","0.9886%"
"Georgia","Glynn County","268300","1,712","0.6381%"
"Georgia","Gordon County","205600","1,450","0.7053%"
"Georgia","Grady County","136500","1,337","0.9795%"
"Georgia","Greene County","342200","2,343","0.6847%"
"Georgia","Gwinnett County","345700","3,381","0.9780%"
"Georgia","Habersham County","212000","1,330","0.6274%"
"Georgia","Hall County","313600","2,382","0.7596%"
"Georgia","Hancock County","87400","869","0.9943%"
"Georgia","Haralson County","210400","1,787","0.8493%"
"Georgia","Harris County","278700","2,470","0.8863%"
"Georgia","Hart County","206500","1,113","0.5390%"
"Georgia","Heard County","161000","1,030","0.6398%"
"Georgia","Henry County","277400","2,559","0.9225%"
"Georgia","Houston County","205600","1,759","0.8555%"
"Georgia","Irwin County","105300","1,174","1.1149%"
"Georgia","Jackson County","312700","2,761","0.8830%"
"Georgia","Jasper County","219700","1,956","0.8903%"
"Georgia","Jeff Davis County","109300","1,016","0.9296%"
"Georgia","Jefferson County","93100","923","0.9914%"
"Georgia","Jenkins County","81100","777","0.9581%"
"Georgia","Johnson County","91200","837","0.9178%"
"Georgia","Jones County","174600","1,673","0.9582%"
"Georgia","Lamar County","201400","1,910","0.9484%"
"Georgia","Lanier County","161100","1,639","1.0174%"
"Georgia","Laurens County","137400","1,057","0.7693%"
"Georgia","Lee County","226900","2,273","1.0018%"
"Georgia","Liberty County","180200","1,897","1.0527%"
"Georgia","Lincoln County","163600","1,445","0.8833%"
"Georgia","Long County","196500","1,959","0.9969%"
"Georgia","Lowndes County","197900","1,643","0.8302%"
"Georgia","Lumpkin County","277200","1,908","0.6883%"
"Georgia","McDuffie County","155100","1,317","0.8491%"
"Georgia","McIntosh County","173900","1,310","0.7533%"
"Georgia","Macon County","87000","1,011","1.1621%"
"Georgia","Madison County","198800","1,608","0.8089%"
"Georgia","Marion County","122100","860","0.7043%"
"Georgia","Meriwether County","154600","1,439","0.9308%"
"Georgia","Miller County","118300","1,640","1.3863%"
"Georgia","Mitchell County","105500","1,347","1.2768%"
"Georgia","Monroe County","243200","1,669","0.6863%"
"Georgia","Montgomery County","118200","1,140","0.9645%"
"Georgia","Morgan County","323100","2,399","0.7425%"
"Georgia","Murray County","173300","1,111","0.6411%"
"Georgia","Muscogee County","182300","1,526","0.8371%"
"Georgia","Newton County","233300","2,133","0.9143%"
"Georgia","Oconee County","425100","3,056","0.7189%"
"Georgia","Oglethorpe County","198700","1,597","0.8037%"
"Georgia","Paulding County","289000","2,444","0.8457%"
"Georgia","Peach County","186100","2,092","1.1241%"
"Georgia","Pickens County","289600","1,914","0.6609%"
"Georgia","Pierce County","132100","1,209","0.9152%"
"Georgia","Pike County","265700","2,456","0.9244%"
"Georgia","Polk County","163500","1,307","0.7994%"
"Georgia","Pulaski County","144300","1,316","0.9120%"
"Georgia","Putnam County","222000","1,604","0.7225%"
"Georgia","Quitman County","103000","869","0.8437%"
"Georgia","Rabun County","272600","1,463","0.5367%"
"Georgia","Randolph County","90900","800","0.8801%"
"Georgia","Richmond County","163300","1,440","0.8818%"
"Georgia","Rockdale County","256600","1,843","0.7182%"
"Georgia","Schley County","152900","1,356","0.8869%"
"Georgia","Screven County","122300","1,444","1.1807%"
"Georgia","Seminole County","111600","1,361","1.2195%"
"Georgia","Spalding County","196600","1,897","0.9649%"
"Georgia","Stephens County","168200","1,396","0.8300%"
"Georgia","Stewart County","53000","907","1.7113%"
"Georgia","Sumter County","122300","1,616","1.3213%"
"Georgia","Talbot County","127200","1,384","1.0881%"
"Georgia","Taliaferro County","73100","917","1.2544%"
"Georgia","Tattnall County","122400","1,246","1.0180%"
"Georgia","Taylor County","82900","744","0.8975%"
"Georgia","Telfair County","108200","1,181","1.0915%"
"Georgia","Terrell County","111500","1,222","1.0960%"
"Georgia","Thomas County","185300","1,528","0.8246%"
"Georgia","Tift County","143100","1,339","0.9357%"
"Georgia","Toombs County","127100","1,223","0.9622%"
"Georgia","Towns County","311900","1,139","0.3652%"
"Georgia","Treutlen County","98400","940","0.9553%"
"Georgia","Troup County","187800","1,826","0.9723%"
"Georgia","Turner County","95200","1,077","1.1313%"
"Georgia","Twiggs County","104500","859","0.8220%"
"Georgia","Union County","272600","1,376","0.5048%"
"Georgia","Upson County","149500","1,325","0.8863%"
"Georgia","Walker County","173900","1,353","0.7780%"
"Georgia","Walton County","300500","2,431","0.8090%"
"Georgia","Ware County","106500","1,077","1.0113%"
"Georgia","Warren County","78000","804","1.0308%"
"Georgia","Washington County","115600","1,268","1.0969%"
"Georgia","Wayne County","149800","1,193","0.7964%"
"Georgia","Webster County","92200","935","1.0141%"
"Georgia","Wheeler County","74600","562","0.7534%"
"Georgia","White County","262200","1,732","0.6606%"
"Georgia","Whitfield County","198900","1,339","0.6732%"
